update,timestep,episode,mean_reward,mean_length,success_rate,mean_coverage,invalid_rate,loss,epsilon,unique_tilings,wall_time
10001,50000,7196,0.0000,7.13,0.0000,0.7130,0.0000,0.000000,0.9240,0,91.8
22501,100000,14397,0.0000,6.96,0.0000,0.6960,0.0000,0.000000,0.8290,1,215.2
35001,150000,21570,0.0000,6.93,0.0000,0.6930,0.0000,0.000000,0.7340,1,342.8
47501,200000,28755,0.0000,7.02,0.0000,0.7020,0.0000,0.000000,0.6390,2,477.6
60001,250000,35932,0.0000,7.08,0.0000,0.7080,0.0000,0.000040,0.5440,2,625.3
72501,300000,43102,0.0000,7.07,0.0000,0.7070,0.0000,0.000000,0.4490,2,786.1
85001,350000,50269,0.0000,7.03,0.0000,0.7030,0.0000,0.000000,0.3540,4,952.2
97501,400000,57435,0.0000,6.73,0.0000,0.6730,0.0000,0.000000,0.2590,4,1124.9
110001,450000,64617,0.0000,6.75,0.0000,0.6750,0.0000,0.000000,0.1640,4,1303.2
122501,500000,71818,0.0000,6.87,0.0000,0.6870,0.0000,0.000000,0.0690,6,1477.7
135001,550000,78983,0.0000,6.82,0.0000,0.6820,0.0000,0.000000,0.0500,6,1645.4
147501,600000,86106,0.0000,6.99,0.0000,0.6990,0.0000,0.000000,0.0500,7,1809.0
160001,650000,93303,0.0000,7.02,0.0000,0.7020,0.0000,0.000000,0.0500,8,1968.2
172501,700000,100424,0.0000,6.84,0.0000,0.6840,0.0000,0.000000,0.0500,10,2126.3
185001,750000,107596,0.0000,6.97,0.0000,0.6970,0.0000,0.000001,0.0500,10,2284.3
197501,800000,114684,0.0000,7.13,0.0000,0.7130,0.0000,0.000000,0.0500,10,2441.9
210001,850000,121778,0.0100,6.86,0.0100,0.6860,0.0000,0.000000,0.0500,11,2600.3
222501,900000,128998,0.0000,7.10,0.0000,0.7100,0.0000,0.000008,0.0500,11,2758.9
235001,950000,136263,0.0000,6.95,0.0000,0.6950,0.0000,0.000001,0.0500,11,2918.2
247501,1000000,143485,0.0000,6.71,0.0000,0.6710,0.0000,0.000000,0.0500,12,3078.6
260001,1050000,150738,0.0000,6.83,0.0000,0.6830,0.0000,0.000028,0.0500,12,3238.8
272501,1100000,157988,0.0000,6.86,0.0000,0.6860,0.0000,0.000000,0.0500,12,3395.8
285001,1150000,165264,0.0000,6.87,0.0000,0.6870,0.0000,0.000000,0.0500,13,3554.9
297501,1200000,172504,0.0000,6.78,0.0000,0.6780,0.0000,0.000000,0.0500,13,3723.7
310001,1250000,179732,0.0000,7.05,0.0000,0.7050,0.0000,0.000000,0.0500,13,3890.4
322501,1300000,186966,0.0000,7.05,0.0000,0.7050,0.0000,0.000000,0.0500,13,4056.7
335001,1350000,194165,0.0000,6.86,0.0000,0.6860,0.0000,0.000000,0.0500,14,4221.8
347501,1400000,201395,0.0000,7.00,0.0000,0.7000,0.0000,0.000000,0.0500,14,4387.6
360001,1450000,208645,0.0000,6.99,0.0000,0.6990,0.0000,0.000000,0.0500,14,4541.2
372501,1500000,215873,0.0000,6.92,0.0000,0.6920,0.0000,0.000000,0.0500,14,4678.5
385001,1550000,223089,0.0000,6.62,0.0000,0.6620,0.0000,0.000000,0.0500,14,4816.4
397501,1600000,230307,0.0000,6.82,0.0000,0.6820,0.0000,0.000000,0.0500,14,4953.7
410001,1650000,237494,0.0000,6.98,0.0000,0.6980,0.0000,0.000000,0.0500,14,5093.6
422501,1700000,244712,0.0000,7.02,0.0000,0.7020,0.0000,0.000000,0.0500,15,5228.9
435001,1750000,251932,0.0000,6.77,0.0000,0.6770,0.0000,0.000000,0.0500,15,5358.1
447501,1800000,259161,0.0000,6.89,0.0000,0.6890,0.0000,0.000000,0.0500,15,5476.5
460001,1850000,266401,0.0000,6.90,0.0000,0.6900,0.0000,0.000000,0.0500,16,5603.7
472501,1900000,273631,0.0000,7.01,0.0000,0.7010,0.0000,0.000000,0.0500,16,5742.6
485001,1950000,280865,0.0000,6.84,0.0000,0.6840,0.0000,0.000000,0.0500,16,5879.1
497501,2000000,288097,0.0000,6.86,0.0000,0.6860,0.0000,0.000000,0.0500,17,6018.8
