update,timestep,episode,mean_reward,mean_length,success_rate,mean_coverage,invalid_rate,loss,epsilon,unique_tilings,wall_time
1,10000,1441,0.0000,6.95,0.0000,0.6950,0.0000,0.003699,1.0000,0,1.8
2501,20000,2881,0.0000,6.99,0.0000,0.6990,0.0000,0.000005,0.9810,0,12.8
5001,30000,4316,0.0000,6.94,0.0000,0.6940,0.0000,0.000002,0.9620,0,23.8
7501,40000,5752,0.0000,6.93,0.0000,0.6930,0.0000,0.000001,0.9430,0,34.8
10001,50000,7193,0.0000,6.93,0.0000,0.6930,0.0000,0.000000,0.9240,0,46.2
12501,60000,8637,0.0000,6.99,0.0000,0.6990,0.0000,0.000000,0.9050,0,57.9
15001,70000,10076,0.0000,6.97,0.0000,0.6970,0.0000,0.000000,0.8860,0,71.2
17501,80000,11512,0.0000,6.92,0.0000,0.6920,0.0000,0.000000,0.8670,0,84.2
20001,90000,12950,0.0000,6.98,0.0000,0.6980,0.0000,0.000000,0.8480,0,96.9
22501,100000,14384,0.0000,6.97,0.0000,0.6970,0.0000,0.000000,0.8290,0,109.6
25001,110000,15826,0.0000,6.92,0.0000,0.6920,0.0000,0.000000,0.8100,0,122.2
27501,120000,17262,0.0000,7.00,0.0000,0.7000,0.0000,0.000000,0.7910,1,134.5
30001,130000,18701,0.0000,7.02,0.0000,0.7020,0.0000,0.000000,0.7720,1,146.7
32501,140000,20135,0.0100,7.16,0.0100,0.7160,0.0000,0.000000,0.7530,2,159.1
35001,150000,21582,0.0000,6.90,0.0000,0.6900,0.0000,0.000000,0.7340,2,171.9
37501,160000,23017,0.0000,6.98,0.0000,0.6980,0.0000,0.000000,0.7150,2,185.5
40001,170000,24453,0.0000,7.11,0.0000,0.7110,0.0000,0.000040,0.6960,2,198.8
42501,180000,25903,0.0000,6.91,0.0000,0.6910,0.0000,0.000000,0.6770,2,212.2
45001,190000,27344,0.0000,7.10,0.0000,0.7100,0.0000,0.000040,0.6580,3,226.3
47501,200000,28779,0.0000,7.09,0.0000,0.7090,0.0000,0.000000,0.6390,4,240.0
50001,210000,30219,0.0000,6.80,0.0000,0.6800,0.0000,0.000001,0.6200,5,253.8
52501,220000,31651,0.0000,6.92,0.0000,0.6920,0.0000,0.000000,0.6010,5,267.7
55001,230000,33077,0.0000,6.93,0.0000,0.6930,0.0000,0.000000,0.5820,5,281.1
57501,240000,34509,0.0000,6.89,0.0000,0.6890,0.0000,0.000000,0.5630,5,294.8
60001,250000,35952,0.0000,6.81,0.0000,0.6810,0.0000,0.000040,0.5440,5,308.6
62501,260000,37387,0.0000,6.91,0.0000,0.6910,0.0000,0.000000,0.5250,5,322.6
65001,270000,38821,0.0000,7.13,0.0000,0.7130,0.0000,0.000000,0.5060,5,337.2
67501,280000,40262,0.0000,6.97,0.0000,0.6970,0.0000,0.000000,0.4870,5,351.5
70001,290000,41700,0.0000,6.85,0.0000,0.6850,0.0000,0.000040,0.4680,5,365.9
72501,300000,43135,0.0000,6.91,0.0000,0.6910,0.0000,0.000000,0.4490,5,380.3
75001,310000,44565,0.0000,6.94,0.0000,0.6940,0.0000,0.000000,0.4300,5,395.1
77501,320000,45997,0.0000,7.11,0.0000,0.7110,0.0000,0.000000,0.4110,5,409.6
80001,330000,47436,0.0000,7.12,0.0000,0.7120,0.0000,0.000000,0.3920,6,424.2
82501,340000,48865,0.0000,7.03,0.0000,0.7030,0.0000,0.000000,0.3730,6,439.0
85001,350000,50294,0.0000,7.22,0.0000,0.7220,0.0000,0.000001,0.3540,6,453.8
87501,360000,51736,0.0000,7.04,0.0000,0.7040,0.0000,0.000040,0.3350,6,468.9
90001,370000,53183,0.0000,6.95,0.0000,0.6950,0.0000,0.000000,0.3160,6,483.8
92501,380000,54621,0.0000,6.99,0.0000,0.6990,0.0000,0.000000,0.2970,6,498.9
95001,390000,56057,0.0000,6.98,0.0000,0.6980,0.0000,0.000000,0.2780,6,514.1
97501,400000,57485,0.0000,6.90,0.0000,0.6900,0.0000,0.000039,0.2590,6,529.5
100001,410000,58915,0.0000,6.93,0.0000,0.6930,0.0000,0.000000,0.2400,6,544.7
102501,420000,60359,0.0000,6.97,0.0000,0.6970,0.0000,0.000000,0.2210,6,560.0
105001,430000,61787,0.0000,6.94,0.0000,0.6940,0.0000,0.000000,0.2020,6,575.3
107501,440000,63217,0.0000,6.92,0.0000,0.6920,0.0000,0.000000,0.1830,6,590.6
110001,450000,64637,0.0000,7.06,0.0000,0.7060,0.0000,0.000039,0.1640,6,605.8
112501,460000,66073,0.0000,6.92,0.0000,0.6920,0.0000,0.000000,0.1450,6,621.0
115001,470000,67504,0.0000,6.95,0.0000,0.6950,0.0000,0.000000,0.1260,7,636.4
117501,480000,68943,0.0000,6.97,0.0000,0.6970,0.0000,0.000002,0.1070,7,651.6
120001,490000,70348,0.0000,7.09,0.0000,0.7090,0.0000,0.000000,0.0880,7,666.8
122501,500000,71763,0.0000,6.99,0.0000,0.6990,0.0000,0.000036,0.0690,7,682.1
125001,510000,73178,0.0000,7.01,0.0000,0.7010,0.0000,0.000000,0.0500,7,697.4
127501,520000,74617,0.0000,6.85,0.0000,0.6850,0.0000,0.000000,0.0500,7,712.7
130001,530000,76049,0.0000,6.92,0.0000,0.6920,0.0000,0.000000,0.0500,7,727.7
132501,540000,77488,0.0000,7.00,0.0000,0.7000,0.0000,0.000041,0.0500,7,742.8
135001,550000,78910,0.0000,6.86,0.0000,0.6860,0.0000,0.000000,0.0500,7,758.1
137501,560000,80336,0.0000,6.94,0.0000,0.6940,0.0000,0.000032,0.0500,7,773.2
140001,570000,81759,0.0000,7.23,0.0000,0.7230,0.0000,0.000000,0.0500,7,788.3
142501,580000,83171,0.0000,7.16,0.0000,0.7160,0.0000,0.000039,0.0500,7,803.6
145001,590000,84596,0.0000,7.06,0.0000,0.7060,0.0000,0.000036,0.0500,7,818.8
147501,600000,86028,0.0000,6.98,0.0000,0.6980,0.0000,0.000000,0.0500,7,833.9
150001,610000,87472,0.0000,6.89,0.0000,0.6890,0.0000,0.000000,0.0500,7,849.3
