update,timestep,episode,mean_reward,mean_length,success_rate,mean_coverage,invalid_rate,loss,epsilon,unique_tilings,wall_time
1,10000,1439,0.0000,7.00,0.0000,0.7000,0.0000,0.002900,1.0000,0,1.9
2501,20000,2871,0.0000,6.92,0.0000,0.6920,0.0000,0.000006,0.9810,0,13.3
5001,30000,4314,0.0000,6.85,0.0000,0.6850,0.0000,0.000002,0.9620,0,24.7
7501,40000,5750,0.0000,6.97,0.0000,0.6970,0.0000,0.000001,0.9430,0,37.2
10001,50000,7186,0.0000,7.09,0.0000,0.7090,0.0000,0.000000,0.9240,0,49.7
12501,60000,8627,0.0000,6.82,0.0000,0.6820,0.0000,0.000000,0.9050,0,63.4
15001,70000,10065,0.0000,6.95,0.0000,0.6950,0.0000,0.000000,0.8860,0,78.6
17501,80000,11500,0.0000,6.87,0.0000,0.6870,0.0000,0.000000,0.8670,0,93.4
20001,90000,12942,0.0000,7.01,0.0000,0.7010,0.0000,0.000000,0.8480,0,106.8
22501,100000,14381,0.0000,6.93,0.0000,0.6930,0.0000,0.000000,0.8290,1,123.2
25001,110000,15815,0.0000,6.91,0.0000,0.6910,0.0000,0.000040,0.8100,1,139.5
27501,120000,17249,0.0000,7.04,0.0000,0.7040,0.0000,0.000000,0.7910,2,154.2
30001,130000,18692,0.0000,7.03,0.0000,0.7030,0.0000,0.000000,0.7720,2,168.5
32501,140000,20138,0.0000,6.93,0.0000,0.6930,0.0000,0.000000,0.7530,2,182.7
35001,150000,21583,0.0000,6.91,0.0000,0.6910,0.0000,0.000000,0.7340,2,197.7
37501,160000,23024,0.0000,6.86,0.0000,0.6860,0.0000,0.000001,0.7150,2,213.3
40001,170000,24466,0.0000,6.86,0.0000,0.6860,0.0000,0.000000,0.6960,2,227.9
42501,180000,25905,0.0000,6.98,0.0000,0.6980,0.0000,0.000000,0.6770,2,242.8
45001,190000,27349,0.0000,6.82,0.0000,0.6820,0.0000,0.000000,0.6580,2,258.7
47501,200000,28773,0.0000,6.98,0.0000,0.6980,0.0000,0.000000,0.6390,2,275.6
50001,210000,30213,0.0000,6.97,0.0000,0.6970,0.0000,0.000000,0.6200,2,292.3
52501,220000,31663,0.0000,6.84,0.0000,0.6840,0.0000,0.000000,0.6010,2,307.1
55001,230000,33103,0.0000,6.92,0.0000,0.6920,0.0000,0.000039,0.5820,2,324.2
57501,240000,34550,0.0000,7.06,0.0000,0.7060,0.0000,0.000000,0.5630,2,341.2
60001,250000,36004,0.0000,6.93,0.0000,0.6930,0.0000,0.000000,0.5440,2,360.3
62501,260000,37452,0.0000,6.80,0.0000,0.6800,0.0000,0.000000,0.5250,2,380.5
65001,270000,38888,0.0000,7.10,0.0000,0.7100,0.0000,0.000039,0.5060,2,398.9
67501,280000,40327,0.0000,7.09,0.0000,0.7090,0.0000,0.000000,0.4870,2,415.7
