update,timestep,episode,mean_reward,mean_length,success_rate,mean_coverage,invalid_rate,policy_loss,value_loss,entropy,approx_kl,unique_tilings,wall_time
10,20480,2897,0.6957,7.26,0.0000,0.7260,0.0000,-0.037983,0.001769,2.5210,0.012594,0,65.1
20,40960,5727,0.6985,7.29,0.0000,0.7290,0.0000,-0.040255,0.001512,2.3313,0.017852,0,128.4
30,61440,8503,0.7059,7.37,0.0000,0.7370,0.0000,-0.039711,0.001669,2.2307,0.016933,0,190.8
40,81920,11246,0.7105,7.42,0.0000,0.7420,0.0000,-0.047248,0.001672,2.2260,0.018768,0,253.1
50,102400,13979,0.7169,7.49,0.0000,0.7490,0.0000,-0.044763,0.001569,2.1479,0.018919,1,315.1
60,122880,16692,0.7298,7.63,0.0000,0.7630,0.0000,-0.044947,0.001886,2.1385,0.020899,2,377.5
70,143360,19408,0.7326,7.66,0.0000,0.7660,0.0000,-0.049087,0.001530,2.1825,0.019028,7,440.4
80,163840,22116,0.7362,7.70,0.0000,0.7700,0.0000,-0.051422,0.001615,2.1470,0.022169,10,503.0
90,184320,24814,0.7307,7.64,0.0000,0.7640,0.0000,-0.049690,0.001651,2.0294,0.027058,10,566.3
100,204800,27506,0.7224,7.55,0.0000,0.7550,0.0000,-0.051646,0.001752,2.0381,0.024825,12,629.1
110,225280,30176,0.7298,7.63,0.0000,0.7630,0.0000,-0.052892,0.001431,1.9677,0.023590,12,689.1
120,245760,32846,0.7488,7.62,0.0100,0.7620,0.0000,-0.038135,0.008318,1.9259,0.024704,15,750.8
130,266240,35493,0.7445,7.79,0.0000,0.7790,0.0000,-0.050370,0.001735,1.8366,0.025221,16,812.3
140,286720,38134,0.7409,7.75,0.0000,0.7750,0.0000,-0.033443,0.014302,1.9140,0.023445,22,875.6
150,307200,40804,0.7270,7.60,0.0000,0.7600,0.0000,-0.053911,0.001693,1.9647,0.022414,23,939.6
160,327680,43445,0.7490,7.84,0.0000,0.7840,0.0000,-0.049368,0.001481,1.8383,0.020700,24,1006.3
170,348160,46086,0.7399,7.74,0.0000,0.7740,0.0000,-0.051164,0.001579,1.7929,0.027181,26,1072.1
180,368640,48701,0.7334,7.67,0.0000,0.7670,0.0000,-0.052807,0.001614,1.8103,0.024141,29,1134.2
190,389120,51310,0.7527,7.88,0.0000,0.7880,0.0000,-0.050640,0.001508,1.7324,0.024039,31,1199.2
200,409600,53918,0.7591,7.95,0.0000,0.7950,0.0000,-0.051898,0.001400,1.6944,0.024998,32,1263.7
210,430080,56523,0.7671,7.82,0.0100,0.7820,0.0000,-0.036924,0.009816,1.6789,0.021742,37,1327.2
220,450560,59139,0.7717,7.87,0.0100,0.7870,0.0000,-0.038645,0.007859,1.7330,0.024567,40,1390.9
230,471040,61756,0.7526,7.77,0.0100,0.7770,0.0000,-0.029550,0.015427,1.7360,0.019732,44,1455.0
240,491520,64398,0.7735,7.78,0.0300,0.7780,0.0000,-0.028960,0.010933,1.6967,0.018980,44,1515.3
250,512000,67037,0.8135,7.89,0.0600,0.7890,0.0000,-0.030532,0.015121,1.7153,0.020699,45,1577.0
260,532480,69633,0.8770,7.93,0.1200,0.7930,0.0000,-0.026509,0.025039,1.6259,0.021110,47,1637.9
270,552960,72143,1.1416,8.53,0.3300,0.8530,0.0000,-0.026245,0.048452,0.8393,0.019429,50,1699.5
280,573440,74452,1.1769,8.48,0.3700,0.8480,0.0000,-0.037573,0.050307,0.8678,0.031240,53,1760.5
290,593920,76616,1.8387,9.82,0.9100,0.9820,0.0000,-0.008826,0.016921,0.1512,0.014147,53,1821.8
300,614400,78748,1.8850,9.89,0.9500,0.9890,0.0000,-0.008089,0.020929,0.2083,0.015279,53,1884.5
310,634880,80878,1.8023,9.75,0.8800,0.9750,0.0000,-0.015375,0.024767,0.2739,0.018866,54,1949.3
320,655360,82966,1.7914,9.74,0.8700,0.9740,0.0000,-0.017069,0.029320,0.3441,0.017038,54,2014.9
330,675840,85073,1.7660,9.68,0.8500,0.9680,0.0000,-0.015779,0.025053,0.3941,0.016677,54,2080.3
340,696320,87178,1.7977,9.70,0.8800,0.9700,0.0000,-0.021918,0.026488,0.4795,0.018422,55,2143.4
350,716800,89255,1.8605,9.84,0.9300,0.9840,0.0000,-0.014639,0.017098,0.4453,0.015695,55,2214.8
360,737280,91350,1.6731,9.43,0.7800,0.9430,0.0000,-0.030485,0.033675,0.5870,0.020784,55,2281.6
370,757760,93447,1.8614,9.85,0.9300,0.9850,0.0000,-0.017488,0.012573,0.4265,0.011558,57,2350.7
380,778240,95533,1.8632,9.87,0.9300,0.9870,0.0000,-0.012779,0.012256,0.4204,0.011838,57,2415.5
390,798720,97638,1.8450,9.78,0.9200,0.9780,0.0000,-0.018078,0.020786,0.4579,0.017738,60,2481.7
400,819200,99725,1.8950,9.89,0.9600,0.9890,0.0000,-0.014819,0.015909,0.4612,0.016013,60,2545.8
410,839680,101826,1.8413,9.74,0.9200,0.9740,0.0000,-0.017006,0.015571,0.5111,0.015145,60,2609.1
420,860160,103924,1.8869,9.91,0.9500,0.9910,0.0000,-0.016736,0.009453,0.4652,0.011863,61,2671.9
430,880640,105998,1.8378,9.81,0.9100,0.9810,0.0000,-0.018082,0.016335,0.4685,0.014359,62,2733.2
440,901120,108148,1.7605,9.62,0.8500,0.9620,0.0000,-0.025717,0.030586,0.5178,0.016699,63,2797.1
450,921600,110224,1.8741,9.88,0.9400,0.9880,0.0000,-0.014136,0.010287,0.4507,0.012728,64,2860.9
460,942080,112301,1.8787,9.93,0.9400,0.9930,0.0000,-0.018865,0.022542,0.4850,0.018333,64,2923.7
470,962560,114382,1.9077,9.92,0.9700,0.9920,0.0000,-0.012947,0.012833,0.4662,0.012125,64,2987.1
480,983040,116482,1.7850,9.67,0.8700,0.9670,0.0000,-0.024887,0.028544,0.5252,0.016972,65,3053.5
490,1003520,118566,1.8605,9.84,0.9300,0.9840,0.0000,-0.017556,0.016692,0.4628,0.013307,65,3116.7
500,1024000,120648,1.8859,9.90,0.9500,0.9900,0.0000,-0.014571,0.012478,0.4566,0.013549,65,3180.8
510,1044480,122742,1.9086,9.93,0.9700,0.9930,0.0000,-0.017899,0.009608,0.4595,0.011124,65,3243.7
520,1064960,124840,1.8487,9.82,0.9200,0.9820,0.0000,-0.017982,0.015514,0.4834,0.012448,65,3305.0
530,1085440,126935,1.9105,9.95,0.9700,0.9950,0.0000,-0.013089,0.005526,0.4623,0.011880,66,3367.0
540,1105920,129041,1.6551,9.45,0.7600,0.9450,0.0000,-0.022440,0.033107,0.5634,0.020420,66,3429.4
550,1126400,131124,1.8959,9.90,0.9600,0.9900,0.0000,-0.018686,0.013945,0.4634,0.013783,66,3493.0
560,1146880,133207,1.8468,9.80,0.9200,0.9800,0.0000,-0.019912,0.017962,0.4642,0.013246,66,3553.4
570,1167360,135296,1.8987,9.93,0.9600,0.9930,0.0000,-0.018176,0.010569,0.4585,0.015738,66,3610.8
580,1187840,137381,1.8067,9.69,0.8900,0.9690,0.0000,-0.022668,0.021904,0.5344,0.017245,66,3666.4
590,1208320,139479,1.8741,9.88,0.9400,0.9880,0.0000,-0.013112,0.016234,0.4711,0.011423,67,3725.2
600,1228800,141569,1.8441,9.77,0.9200,0.9770,0.0000,-0.016478,0.012461,0.4805,0.013726,67,3785.2
610,1249280,143643,1.8605,9.84,0.9300,0.9840,0.0000,-0.016184,0.015157,0.4649,0.015112,67,3844.4
620,1269760,145742,1.7732,9.65,0.8600,0.9650,0.0000,-0.025584,0.037542,0.5432,0.018497,68,3905.5
630,1290240,147842,1.8896,9.94,0.9500,0.9940,0.0000,-0.015827,0.010997,0.4289,0.011222,68,3965.5
640,1310720,149940,1.9096,9.94,0.9700,0.9940,0.0000,-0.013682,0.012057,0.4459,0.011763,68,4027.3
650,1331200,152026,1.7331,9.54,0.8300,0.9540,0.0000,-0.028996,0.029353,0.5882,0.020105,69,4088.7
660,1351680,154114,1.7896,9.72,0.8700,0.9720,0.0000,-0.018712,0.018454,0.5137,0.022687,69,4150.6
670,1372160,156191,1.9223,9.97,0.9800,0.9970,0.0000,-0.015984,0.005806,0.4454,0.013672,69,4212.8
680,1392640,158275,1.7296,9.61,0.8200,0.9610,0.0000,-0.023755,0.032600,0.5175,0.022997,69,4275.0
690,1413120,160375,1.7759,9.68,0.8600,0.9680,0.0000,-0.021285,0.025553,0.5138,0.014606,69,4337.3
700,1433600,162466,1.8377,9.81,0.9100,0.9810,0.0000,-0.017679,0.018825,0.4972,0.014525,69,4402.1
710,1454080,164547,1.9332,9.98,0.9900,0.9980,0.0000,-0.017695,0.003493,0.4497,0.011561,69,4463.1
720,1474560,166644,1.8968,9.91,0.9600,0.9910,0.0000,-0.015597,0.009612,0.4560,0.012620,69,4522.5
730,1495040,168735,1.8341,9.77,0.9100,0.9770,0.0000,-0.021709,0.019436,0.5308,0.017033,70,4581.6
740,1515520,170823,1.8478,9.81,0.9200,0.9810,0.0000,-0.022361,0.018089,0.4895,0.013399,70,4640.3
750,1536000,172940,1.8468,9.80,0.9200,0.9800,0.0000,-0.023251,0.015367,0.4814,0.016423,70,4698.3
760,1556480,175026,1.7632,9.65,0.8500,0.9650,0.0000,-0.025008,0.021345,0.5205,0.019619,70,4756.6
770,1576960,177113,1.8368,9.80,0.9100,0.9800,0.0000,-0.021044,0.022066,0.5035,0.015585,70,4815.2
780,1597440,179212,1.7777,9.70,0.8600,0.9700,0.0000,-0.021634,0.024851,0.4968,0.023025,71,4875.4
790,1617920,181301,1.8223,9.75,0.9000,0.9750,0.0000,-0.019336,0.020251,0.5003,0.016903,71,4934.2
800,1638400,183394,1.6914,9.52,0.7900,0.9520,0.0000,-0.025931,0.027336,0.6415,0.019076,71,4990.6
810,1658880,185511,1.7331,9.54,0.8300,0.9540,0.0000,-0.025957,0.026845,0.5967,0.022158,71,5050.7
820,1679360,187591,1.9105,9.95,0.9700,0.9950,0.0000,-0.014746,0.008389,0.4482,0.010762,71,5110.3
830,1699840,189665,1.8841,9.88,0.9500,0.9880,0.0000,-0.015802,0.011770,0.4785,0.014799,71,5172.0
840,1720320,191738,1.9105,9.95,0.9700,0.9950,0.0000,-0.013793,0.010691,0.4160,0.015150,71,5236.2
850,1740800,193846,1.5386,9.16,0.6700,0.9160,0.0000,-0.034833,0.044796,0.7516,0.020282,72,5300.5
860,1761280,195953,1.7750,9.67,0.8600,0.9670,0.0000,-0.021684,0.020588,0.5344,0.017761,72,5367.8
870,1781760,198027,1.8732,9.87,0.9400,0.9870,0.0000,-0.015760,0.015613,0.4589,0.015602,72,5430.1
880,1802240,200118,1.7604,9.62,0.8500,0.9620,0.0000,-0.025611,0.029939,0.5337,0.019519,72,5491.5
890,1822720,202199,1.8259,9.79,0.9000,0.9790,0.0000,-0.017323,0.018060,0.4959,0.016662,72,5552.0
