update,timestep,episode,mean_reward,mean_length,success_rate,mean_coverage,invalid_rate,loss,epsilon,unique_tilings,wall_time
10001,50000,7174,0.6799,7.09,0.0000,0.7090,0.0000,0.000351,0.9240,0,67.2
22501,100000,14284,0.6661,6.94,0.0000,0.6940,0.0000,0.000337,0.8290,0,148.0
35001,150000,21290,0.6781,7.07,0.0000,0.7070,0.0000,0.000338,0.7340,0,228.3
47501,200000,28204,0.6976,7.28,0.0000,0.7280,0.0000,0.000346,0.6390,1,308.4
60001,250000,35024,0.6910,7.21,0.0000,0.7210,0.0000,0.000332,0.5440,2,389.6
72501,300000,41780,0.7123,7.44,0.0000,0.7440,0.0000,0.000353,0.4490,2,466.2
85001,350000,48441,0.7325,7.66,0.0000,0.7660,0.0000,0.000347,0.3540,5,539.5
97501,400000,54999,0.7455,7.80,0.0000,0.7800,0.0000,0.000331,0.2590,6,612.7
110001,450000,61443,0.7444,7.79,0.0000,0.7790,0.0000,0.000324,0.1640,8,686.9
122501,500000,67795,0.7629,7.99,0.0000,0.7990,0.0000,0.000337,0.0690,14,761.7
135001,550000,74065,0.7729,8.10,0.0000,0.8100,0.0000,0.000339,0.0500,30,837.8
147501,600000,80265,0.7784,8.16,0.0000,0.8160,0.0000,0.000312,0.0500,37,913.7
160001,650000,86413,0.7674,8.04,0.0000,0.8040,0.0000,0.000357,0.0500,53,990.6
172501,700000,92504,0.7857,8.24,0.0000,0.8240,0.0000,0.000325,0.0500,72,1067.6
185001,750000,98563,0.7912,8.30,0.0000,0.8300,0.0000,0.000388,0.0500,91,1145.9
197501,800000,104562,0.8095,8.50,0.0000,0.8500,0.0000,0.000418,0.0500,125,1223.1
210001,850000,110516,0.8013,8.41,0.0000,0.8410,0.0000,0.000503,0.0500,155,1302.2
222501,900000,116444,0.8157,8.35,0.0200,0.8350,0.0000,0.000548,0.0500,212,1381.9
235001,950000,122338,0.8149,8.56,0.0000,0.8560,0.0000,0.000641,0.0500,272,1463.4
247501,1000000,128199,0.8367,8.58,0.0200,0.8580,0.0000,0.000798,0.0500,341,1518.6
260001,1050000,134041,0.8377,8.59,0.0200,0.8590,0.0000,0.000776,0.0500,414,1606.4
272501,1100000,139862,0.8531,8.65,0.0300,0.8650,0.0000,0.001041,0.0500,479,1692.7
285001,1150000,145674,0.9076,8.70,0.0800,0.8700,0.0000,0.001489,0.0500,516,1780.1
297501,1200000,151379,1.1074,8.81,0.2700,0.8810,0.0000,0.002868,0.0500,527,1868.8
310001,1250000,156850,1.5144,9.33,0.6300,0.9330,0.0000,0.003574,0.0500,528,1958.9
322501,1300000,162152,1.5171,9.36,0.6300,0.9360,0.0000,0.002555,0.0500,532,2049.5
335001,1350000,167434,1.6051,9.45,0.7100,0.9450,0.0000,0.001946,0.0500,535,2140.6
347501,1400000,172728,1.5706,9.40,0.6800,0.9400,0.0000,0.001696,0.0500,539,2236.8
360001,1450000,178017,1.6234,9.54,0.7200,0.9540,0.0000,0.001552,0.0500,542,2331.3
372501,1500000,183308,1.6333,9.54,0.7300,0.9540,0.0000,0.001591,0.0500,544,2424.7
385001,1550000,188595,1.5634,9.43,0.6700,0.9430,0.0000,0.001210,0.0500,546,2519.3
397501,1600000,193877,1.6779,9.59,0.7700,0.9590,0.0000,0.000890,0.0500,551,2612.2
410001,1650000,199182,1.5661,9.35,0.6800,0.9350,0.0000,0.000551,0.0500,554,2705.1
422501,1700000,204478,1.6006,9.40,0.7100,0.9400,0.0000,0.000559,0.0500,555,2799.2
435001,1750000,209766,1.6379,9.48,0.7400,0.9480,0.0000,0.000477,0.0500,555,2893.5
447501,1800000,215044,1.6942,9.55,0.7900,0.9550,0.0000,0.000511,0.0500,556,2987.9
460001,1850000,220328,1.6188,9.49,0.7200,0.9490,0.0000,0.000577,0.0500,559,3082.9
472501,1900000,225618,1.5107,9.29,0.6300,0.9290,0.0000,0.000533,0.0500,561,3177.3
485001,1950000,230904,1.6297,9.50,0.7300,0.9500,0.0000,0.000585,0.0500,562,3272.0
497501,2000000,236219,1.4998,9.28,0.6200,0.9280,0.0000,0.000485,0.0500,564,3365.9
