update,timestep,episode,mean_reward,mean_length,success_rate,mean_coverage,invalid_rate,loss,epsilon,unique_tilings,wall_time
10001,50000,7187,0.0000,7.08,0.0000,0.7080,0.0000,0.000000,0.9240,1,90.4
22501,100000,14387,0.0000,7.00,0.0000,0.7000,0.0000,0.000000,0.8290,1,213.2
35001,150000,21581,0.0000,6.87,0.0000,0.6870,0.0000,0.000002,0.7340,1,340.0
47501,200000,28772,0.0000,6.80,0.0000,0.6800,0.0000,0.000080,0.6390,2,474.4
60001,250000,35971,0.0000,6.96,0.0000,0.6960,0.0000,0.000000,0.5440,2,622.9
72501,300000,43179,0.0000,7.08,0.0000,0.7080,0.0000,0.000000,0.4490,3,787.2
85001,350000,50375,0.0000,6.93,0.0000,0.6930,0.0000,0.000000,0.3540,5,952.1
97501,400000,57591,0.0000,6.99,0.0000,0.6990,0.0000,0.000000,0.2590,5,1122.5
110001,450000,64813,0.0000,6.93,0.0000,0.6930,0.0000,0.000000,0.1640,6,1298.8
122501,500000,72041,0.0000,6.95,0.0000,0.6950,0.0000,0.000000,0.0690,6,1473.8
135001,550000,79273,0.0000,6.97,0.0000,0.6970,0.0000,0.000000,0.0500,6,1645.3
147501,600000,86486,0.0000,6.90,0.0000,0.6900,0.0000,0.000040,0.0500,6,1812.3
160001,650000,93747,0.0000,6.84,0.0000,0.6840,0.0000,0.000040,0.0500,6,1974.8
172501,700000,100992,0.0000,6.84,0.0000,0.6840,0.0000,0.000000,0.0500,6,2137.5
185001,750000,108237,0.0000,6.97,0.0000,0.6970,0.0000,0.000000,0.0500,6,2299.4
197501,800000,115477,0.0000,6.76,0.0000,0.6760,0.0000,0.000039,0.0500,6,2461.6
210001,850000,122706,0.0000,6.98,0.0000,0.6980,0.0000,0.000000,0.0500,7,2623.7
222501,900000,129956,0.0000,6.85,0.0000,0.6850,0.0000,0.000000,0.0500,8,2785.8
235001,950000,137184,0.0000,6.91,0.0000,0.6910,0.0000,0.000000,0.0500,8,2947.9
247501,1000000,144402,0.0000,6.99,0.0000,0.6990,0.0000,0.000000,0.0500,8,3110.3
260001,1050000,151620,0.0000,6.94,0.0000,0.6940,0.0000,0.000000,0.0500,8,3270.9
272501,1100000,158831,0.0000,7.03,0.0000,0.7030,0.0000,0.000000,0.0500,8,3430.2
285001,1150000,166043,0.0000,6.87,0.0000,0.6870,0.0000,0.000000,0.0500,9,3592.9
297501,1200000,173256,0.0000,7.06,0.0000,0.7060,0.0000,0.000000,0.0500,9,3762.9
310001,1250000,180472,0.0000,6.93,0.0000,0.6930,0.0000,0.000000,0.0500,9,3929.9
322501,1300000,187720,0.0000,6.96,0.0000,0.6960,0.0000,0.000000,0.0500,10,4096.4
335001,1350000,194946,0.0000,6.80,0.0000,0.6800,0.0000,0.000000,0.0500,10,4262.6
347501,1400000,202170,0.0000,6.93,0.0000,0.6930,0.0000,0.000000,0.0500,10,4428.3
360001,1450000,209392,0.0000,6.89,0.0000,0.6890,0.0000,0.000000,0.0500,10,4574.2
372501,1500000,216602,0.0000,7.03,0.0000,0.7030,0.0000,0.000000,0.0500,11,4711.9
385001,1550000,223826,0.0000,6.79,0.0000,0.6790,0.0000,0.000000,0.0500,12,4848.9
397501,1600000,231039,0.0000,6.96,0.0000,0.6960,0.0000,0.000000,0.0500,12,4988.2
410001,1650000,238272,0.0000,6.96,0.0000,0.6960,0.0000,0.000000,0.0500,12,5125.7
422501,1700000,245527,0.0000,6.89,0.0000,0.6890,0.0000,0.000000,0.0500,12,5262.6
435001,1750000,252779,0.0000,6.91,0.0000,0.6910,0.0000,0.000000,0.0500,12,5385.7
447501,1800000,259991,0.0000,6.59,0.0000,0.6590,0.0000,0.000000,0.0500,12,5504.0
460001,1850000,267232,0.0000,7.05,0.0000,0.7050,0.0000,0.000000,0.0500,13,5633.7
472501,1900000,274461,0.0000,7.01,0.0000,0.7010,0.0000,0.000000,0.0500,13,5775.1
485001,1950000,281688,0.0000,6.85,0.0000,0.6850,0.0000,0.000000,0.0500,13,5912.1
497501,2000000,288935,0.0000,7.00,0.0000,0.7000,0.0000,0.000000,0.0500,14,6050.7
