timestep,episode,mean_reward,mean_length,success_rate,mean_coverage,invalid_rate,critic1_loss,critic2_loss,actor_loss,alpha_loss,alpha,q1_mean,unique_tilings,wall_time
1990000,234282,1.2696,8.62,0.4500,0.8620,0.0000,0.000380,0.000337,-1.265458,0.181990,0.081635,1.1358,112,21168.9
2000000,235427,1.3960,8.91,0.5500,0.8910,0.0000,0.000369,0.000369,-1.278636,0.204564,0.081740,1.1453,112,21276.2
2010000,236576,1.2642,8.67,0.4400,0.8670,0.0000,0.000372,0.000373,-1.321217,-0.160089,0.081773,1.1828,112,21383.5
2020000,237732,1.1906,8.52,0.3800,0.8520,0.0000,0.000432,0.000528,-1.279635,-0.030383,0.082063,1.1402,112,21493.3
2030000,238885,1.2369,8.59,0.4200,0.8590,0.0000,0.000476,0.000536,-1.297605,-0.181724,0.082143,1.1583,112,21601.5
2040000,240040,1.2724,8.65,0.4500,0.8650,0.0000,0.000337,0.000391,-1.325420,-0.011046,0.081703,1.1884,112,21709.0
2050000,241196,1.3650,8.79,0.5300,0.8790,0.0000,0.000415,0.000489,-1.294480,-0.044265,0.081986,1.1592,112,21816.5
2060000,242357,1.1851,8.46,0.3800,0.8460,0.0000,0.000390,0.000407,-1.339602,-0.047901,0.081641,1.2016,112,21924.2
2070000,243516,1.2441,8.56,0.4300,0.8560,0.0000,0.000389,0.000382,-1.299634,0.131471,0.082166,1.1670,112,22031.7
2080000,244680,1.2324,8.65,0.4100,0.8650,0.0000,0.000459,0.000388,-1.286858,0.090508,0.082549,1.1540,112,22139.4
2090000,245842,1.2524,8.65,0.4300,0.8650,0.0000,0.000384,0.000495,-1.310187,0.193950,0.082567,1.1839,112,22247.3
2100000,247008,1.1978,8.49,0.3900,0.8490,0.0000,0.000349,0.000398,-1.349642,-0.122732,0.082255,1.2140,112,22354.7
2110000,248175,1.2751,8.68,0.4500,0.8680,0.0000,0.000414,0.000421,-1.284248,0.072986,0.082485,1.1526,112,22462.3
2120000,249340,1.1714,8.42,0.3700,0.8420,0.0000,0.000423,0.000395,-1.323594,-0.137206,0.083001,1.1862,112,22569.8
2130000,250510,1.2550,8.57,0.4400,0.8570,0.0000,0.000431,0.000406,-1.320168,-0.071510,0.081860,1.1810,112,22677.8
2140000,251688,1.2288,8.61,0.4100,0.8610,0.0000,0.000346,0.000368,-1.303369,0.127676,0.083139,1.1689,112,22785.7
2150000,252862,1.2833,8.66,0.4600,0.8660,0.0000,0.000485,0.000428,-1.330706,-0.299415,0.082876,1.1853,112,22893.3
2160000,254038,1.1233,8.33,0.3300,0.8330,0.0000,0.000403,0.000366,-1.310868,0.031380,0.082766,1.1728,112,23001.2
2170000,255209,1.2432,8.55,0.4300,0.8550,0.0000,0.000643,0.000528,-1.336673,0.038966,0.082996,1.2037,113,23109.2
2180000,256397,1.1532,8.33,0.3600,0.8330,0.0000,0.000523,0.000493,-1.308216,0.096423,0.083682,1.1708,114,23216.9
2190000,257575,1.2135,8.66,0.3900,0.8660,0.0000,0.000502,0.000525,-1.296257,-0.045584,0.083494,1.1559,115,23324.9
2200000,258764,1.1723,8.43,0.3700,0.8430,0.0000,0.000440,0.000459,-1.331565,-0.222439,0.083956,1.1873,115,23432.5
2210000,259947,1.0906,8.30,0.3000,0.8300,0.0000,0.000363,0.000368,-1.293841,0.077147,0.084313,1.1642,118,23540.1
2220000,261143,1.0980,8.38,0.3000,0.8380,0.0000,0.000389,0.000367,-1.333787,0.090928,0.084244,1.2011,118,23647.9
2230000,262340,1.1680,8.49,0.3600,0.8490,0.0000,0.000383,0.000404,-1.279891,0.238773,0.084692,1.1518,118,23755.7
2240000,263540,1.2187,8.61,0.4000,0.8610,0.0000,0.000337,0.000389,-1.304470,0.002812,0.084047,1.1764,118,23865.2
2250000,264741,1.0577,8.16,0.2800,0.8160,0.0000,0.000356,0.000351,-1.330496,0.025255,0.085104,1.1933,118,23973.3
2260000,265930,1.1778,8.49,0.3700,0.8490,0.0000,0.000465,0.000460,-1.329531,-0.064846,0.084696,1.1873,119,24081.1
2270000,267132,1.0707,8.30,0.2800,0.8300,0.0000,0.000468,0.000368,-1.352535,-0.004128,0.085244,1.2174,119,24189.2
2280000,268338,1.1006,8.30,0.3100,0.8300,0.0000,0.000372,0.000374,-1.326613,0.222543,0.085647,1.1982,119,24297.0
2290000,269543,0.9916,8.20,0.2100,0.8200,0.0000,0.000378,0.000461,-1.290969,0.030512,0.085620,1.1572,120,24404.8
2300000,270744,1.1070,8.37,0.3100,0.8370,0.0000,0.000568,0.000514,-1.319822,-0.291077,0.086097,1.1758,120,24512.8
2310000,271959,1.0687,8.17,0.2900,0.8170,0.0000,0.000406,0.000440,-1.350686,-0.145336,0.086244,1.2144,121,24621.3
2320000,273176,0.9052,7.91,0.1500,0.7910,0.0000,0.000437,0.000345,-1.326017,0.295786,0.086270,1.2024,122,24729.3
2330000,274390,1.0577,8.16,0.2800,0.8160,0.0000,0.000586,0.000563,-1.333814,-0.202701,0.085919,1.1916,122,24837.0
2340000,275609,1.0369,8.15,0.2600,0.8150,0.0000,0.000456,0.000415,-1.326352,0.063916,0.086822,1.1949,122,24945.2
2350000,276827,1.0561,8.25,0.2700,0.8250,0.0000,0.000386,0.000551,-1.307774,0.186289,0.086713,1.1789,122,25052.6
2360000,278044,0.9952,8.13,0.2200,0.8130,0.0000,0.000340,0.000423,-1.329524,0.201148,0.086911,1.1978,122,25159.5
2370000,279258,1.0797,8.29,0.2900,0.8290,0.0000,0.000355,0.000388,-1.346703,-0.023861,0.086372,1.2034,122,25266.8
2380000,280478,1.0469,8.15,0.2700,0.8150,0.0000,0.000475,0.000473,-1.312112,0.087649,0.087132,1.1792,122,25373.5
2390000,281692,1.0770,8.26,0.2900,0.8260,0.0000,0.000363,0.000411,-1.428360,-0.145718,0.086486,1.2929,122,25480.3
2400000,282904,1.1352,8.46,0.3300,0.8460,0.0000,0.000421,0.000426,-1.301891,0.114348,0.086733,1.1753,122,25586.9
2410000,284126,1.0005,8.08,0.2300,0.8080,0.0000,0.000472,0.000505,-1.317594,-0.133542,0.086575,1.1757,122,25694.1
2420000,285336,1.1651,8.46,0.3600,0.8460,0.0000,0.000456,0.000413,-1.343200,-0.131764,0.086321,1.2016,122,25801.2
2430000,286542,1.0652,8.24,0.2800,0.8240,0.0000,0.000439,0.000432,-1.322507,0.105829,0.086057,1.1952,122,25908.1
2440000,287759,1.0925,8.32,0.3000,0.8320,0.0000,0.000379,0.000444,-1.332912,-0.017079,0.086194,1.1950,122,26015.5
2450000,288966,1.0679,8.27,0.2800,0.8270,0.0000,0.000406,0.000494,-1.352444,-0.126857,0.084903,1.2129,122,26122.8
2460000,290177,1.0343,8.23,0.2500,0.8230,0.0000,0.000457,0.000396,-1.315621,-0.244467,0.086083,1.1720,122,26230.0
2470000,291382,1.1661,8.47,0.3600,0.8470,0.0000,0.000393,0.000425,-1.360270,0.150418,0.085433,1.2274,122,26337.0
2480000,292579,1.1770,8.48,0.3700,0.8480,0.0000,0.000427,0.000400,-1.329633,-0.076631,0.085565,1.1895,122,26444.2
2490000,293785,1.1442,8.45,0.3400,0.8450,0.0000,0.000406,0.000455,-1.358484,-0.023629,0.084722,1.2243,122,26552.1
2500000,294990,1.1478,8.38,0.3500,0.8380,0.0000,0.000412,0.000356,-1.295588,0.164902,0.085096,1.1671,122,26659.3
2510000,296190,1.1971,8.59,0.3800,0.8590,0.0000,0.000427,0.000395,-1.259398,0.213132,0.085060,1.1367,123,26766.8
2520000,297380,1.1614,8.42,0.3600,0.8420,0.0000,0.000455,0.000435,-1.312586,0.210039,0.084921,1.1798,123,26874.6
2530000,298572,1.0771,8.37,0.2800,0.8370,0.0000,0.000374,0.000368,-1.332399,-0.093666,0.084652,1.1877,123,26982.1
2540000,299764,1.1543,8.45,0.3500,0.8450,0.0000,0.000420,0.000476,-1.334487,0.004344,0.084362,1.2021,123,27089.5
2550000,300958,1.2351,8.57,0.4200,0.8570,0.0000,0.000459,0.000441,-1.337716,0.009054,0.084533,1.2050,123,27197.2
2560000,302151,1.2088,8.50,0.4000,0.8500,0.0000,0.000432,0.000491,-1.259186,0.151904,0.083737,1.1342,123,27304.4
2570000,303349,1.1341,8.34,0.3400,0.8340,0.0000,0.000347,0.000394,-1.354013,0.071638,0.083786,1.2209,123,27411.9
2580000,304538,1.0934,8.33,0.3000,0.8330,0.0000,0.000390,0.000425,-1.353618,-0.027866,0.083431,1.2177,123,27519.5
2590000,305728,1.1061,8.36,0.3100,0.8360,0.0000,0.000434,0.000433,-1.318991,0.302600,0.084220,1.1867,123,27626.8
2600000,306909,1.1624,8.43,0.3600,0.8430,0.0000,0.000498,0.000453,-1.304805,-0.056246,0.083288,1.1649,123,27734.6
2610000,308088,1.1741,8.45,0.3700,0.8450,0.0000,0.000442,0.000337,-1.280103,0.287143,0.083156,1.1505,123,27842.2
2620000,309263,1.1816,8.53,0.3700,0.8530,0.0000,0.000463,0.000402,-1.297349,-0.095151,0.083170,1.1588,124,27950.4
2630000,310442,1.0913,8.20,0.3100,0.8200,0.0000,0.000463,0.000400,-1.279795,0.153940,0.083370,1.1479,124,28058.1
2640000,311624,1.2360,8.58,0.4200,0.8580,0.0000,0.000469,0.000490,-1.272339,0.153833,0.082922,1.1453,124,28165.9
2650000,312807,1.1715,8.53,0.3600,0.8530,0.0000,0.000439,0.000428,-1.327238,-0.204274,0.083498,1.1838,124,28273.8
2660000,313992,1.1570,8.48,0.3500,0.8480,0.0000,0.000396,0.000413,-1.301466,0.116699,0.083263,1.1690,124,28381.2
2670000,315161,1.1796,8.51,0.3700,0.8510,0.0000,0.000387,0.000355,-1.311149,-0.265687,0.082796,1.1691,125,28489.4
2680000,316336,1.1860,8.47,0.3800,0.8470,0.0000,0.000411,0.000480,-1.301689,0.134226,0.082498,1.1749,125,28597.1
2690000,317518,1.1105,8.30,0.3200,0.8300,0.0000,0.000386,0.000433,-1.277723,0.058970,0.082904,1.1413,125,28705.1
2700000,318690,1.2006,8.52,0.3900,0.8520,0.0000,0.000364,0.000367,-1.284614,-0.181059,0.083024,1.1442,125,28812.8
2710000,319862,1.1752,8.46,0.3700,0.8460,0.0000,0.000424,0.000368,-1.305219,-0.066077,0.082399,1.1694,125,28920.9
2720000,321033,1.2641,8.56,0.4500,0.8560,0.0000,0.000421,0.000487,-1.326057,-0.188093,0.083107,1.1919,126,29028.8
2730000,322210,1.2877,8.60,0.4700,0.8600,0.0000,0.000389,0.000501,-1.256612,0.143452,0.082510,1.1262,126,29136.7
2740000,323380,1.3224,8.76,0.4900,0.8760,0.0000,0.000353,0.000361,-1.344529,0.233417,0.082745,1.2172,126,29244.8
2750000,324546,1.2216,8.64,0.4000,0.8640,0.0000,0.000367,0.000413,-1.258835,0.396401,0.082649,1.1403,126,29353.0
2760000,325719,1.1996,8.51,0.3900,0.8510,0.0000,0.000423,0.000438,-1.311790,-0.067819,0.082775,1.1707,126,29461.2
2770000,326889,1.1996,8.51,0.3900,0.8510,0.0000,0.000552,0.000420,-1.312300,-0.057592,0.082361,1.1774,126,29569.1
2780000,328060,1.1616,8.53,0.3500,0.8530,0.0000,0.000379,0.000362,-1.293032,0.225769,0.082133,1.1624,126,29677.1
2790000,329223,1.2942,8.67,0.4700,0.8670,0.0000,0.000447,0.000356,-1.278729,-0.079046,0.082410,1.1402,126,29785.5
2800000,330393,1.2187,8.50,0.4100,0.8500,0.0000,0.000421,0.000401,-1.301602,0.069189,0.082125,1.1764,126,29893.4
2810000,331554,1.2244,8.67,0.4000,0.8670,0.0000,0.000499,0.000494,-1.297346,0.023653,0.082572,1.1636,126,30001.7
2820000,332722,1.2487,8.61,0.4300,0.8610,0.0000,0.000477,0.000424,-1.323033,-0.191882,0.081819,1.1814,126,30109.7
2830000,333881,1.2769,8.70,0.4500,0.8700,0.0000,0.000366,0.000390,-1.246535,-0.051703,0.082068,1.1105,126,30217.5
2840000,335040,1.2270,8.59,0.4100,0.8590,0.0000,0.000395,0.000384,-1.271775,-0.159522,0.081941,1.1366,126,30325.4
2850000,336205,1.2187,8.50,0.4100,0.8500,0.0000,0.000433,0.000379,-1.337141,-0.157761,0.081925,1.1981,126,30433.5
2860000,337375,1.2541,8.56,0.4400,0.8560,0.0000,0.000460,0.000417,-1.257980,0.155762,0.082520,1.1273,126,30541.6
2870000,338539,1.2152,8.57,0.4000,0.8570,0.0000,0.000461,0.000450,-1.313879,-0.184902,0.082273,1.1769,126,30649.5
2880000,339695,1.2578,8.60,0.4400,0.8600,0.0000,0.000511,0.000388,-1.293933,0.030320,0.081992,1.1606,127,30757.9
2890000,340863,1.1605,8.41,0.3600,0.8410,0.0000,0.000412,0.000486,-1.262614,-0.211971,0.082414,1.1214,127,30865.7
2900000,342022,1.2816,8.75,0.4500,0.8750,0.0000,0.000458,0.000408,-1.264059,0.013165,0.082579,1.1227,127,30973.9
2910000,343190,1.1950,8.46,0.3900,0.8460,0.0000,0.000463,0.000381,-1.222323,0.160483,0.081567,1.0882,127,31081.7
2920000,344350,1.2261,8.58,0.4100,0.8580,0.0000,0.000341,0.000369,-1.283998,0.071732,0.081595,1.1478,127,31189.9
2930000,345505,1.3015,8.75,0.4700,0.8750,0.0000,0.000359,0.000440,-1.273405,0.084947,0.081784,1.1402,127,31298.2
2940000,346666,1.3397,8.84,0.5000,0.8840,0.0000,0.000446,0.000468,-1.308831,0.112952,0.082143,1.1766,127,31406.4
2950000,347826,1.2476,8.49,0.4400,0.8490,0.0000,0.000404,0.000383,-1.329424,0.183929,0.081618,1.1976,127,31514.6
2960000,348976,1.2288,8.61,0.4100,0.8610,0.0000,0.000411,0.000404,-1.304883,0.035229,0.082129,1.1731,127,31622.9
2970000,350128,1.2643,8.67,0.4400,0.8670,0.0000,0.000344,0.000437,-1.306607,-0.053170,0.081325,1.1741,127,31729.6
2980000,351286,1.2706,8.63,0.4500,0.8630,0.0000,0.000439,0.000433,-1.256747,-0.101468,0.082012,1.1125,127,31833.8
2990000,352449,1.1998,8.62,0.3800,0.8620,0.0000,0.000425,0.000399,-1.296634,-0.005400,0.081867,1.1624,127,31937.7
3000000,353598,1.3251,8.79,0.4900,0.8790,0.0000,0.000384,0.000367,-1.280788,0.095475,0.081474,1.1499,128,32042.2
3010000,354757,1.2533,8.66,0.4300,0.8660,0.0000,0.000358,0.000362,-1.280218,0.117037,0.081467,1.1485,128,32148.5
3020000,355922,1.2642,8.67,0.4400,0.8670,0.0000,0.000419,0.000416,-1.293672,0.119144,0.081373,1.1665,129,32255.7
3030000,357083,1.2805,8.63,0.4600,0.8630,0.0000,0.000439,0.000420,-1.237284,0.214041,0.082096,1.1079,129,32363.4
3040000,358241,1.3206,8.74,0.4900,0.8740,0.0000,0.000467,0.000391,-1.293650,0.146842,0.081800,1.1626,129,32470.8
3050000,359403,1.2550,8.57,0.4400,0.8570,0.0000,0.000529,0.000453,-1.238240,0.237917,0.081740,1.1091,129,32578.6
3060000,360560,1.3370,8.81,0.5000,0.8810,0.0000,0.000482,0.000477,-1.300677,-0.302114,0.081617,1.1526,129,32686.5
3070000,361713,1.3787,8.83,0.5400,0.8830,0.0000,0.000460,0.000478,-1.307610,0.035491,0.081687,1.1708,129,32794.2
3080000,362872,1.2997,8.73,0.4700,0.8730,0.0000,0.000369,0.000392,-1.282961,0.038043,0.081562,1.1526,129,32902.0
3090000,364027,1.1997,8.51,0.3900,0.8510,0.0000,0.000363,0.000398,-1.315230,-0.012019,0.081481,1.1783,130,33010.2
3100000,365183,1.3342,8.78,0.5000,0.8780,0.0000,0.000473,0.000464,-1.288523,-0.094973,0.081755,1.1519,130,33118.2
3110000,366341,1.2688,8.72,0.4400,0.8720,0.0000,0.000433,0.000449,-1.260873,0.168456,0.081914,1.1293,130,33226.1
3120000,367489,1.2978,8.71,0.4700,0.8710,0.0000,0.000470,0.000469,-1.293848,-0.074110,0.081822,1.1572,130,33334.3
3130000,368652,1.2506,8.63,0.4300,0.8630,0.0000,0.000379,0.000365,-1.328283,0.068713,0.081963,1.1979,130,33442.1
3140000,369809,1.2616,8.75,0.4300,0.8750,0.0000,0.000417,0.000437,-1.294180,0.305750,0.081825,1.1684,130,33550.6
3150000,370979,1.3069,8.70,0.4800,0.8700,0.0000,0.000317,0.000348,-1.293706,0.004237,0.081776,1.1579,130,33658.5
3160000,372143,1.1698,8.51,0.3600,0.8510,0.0000,0.000428,0.000475,-1.252493,-0.209444,0.081602,1.1132,130,33766.5
3170000,373303,1.2587,8.61,0.4400,0.8610,0.0000,0.000473,0.000432,-1.279483,-0.047392,0.081445,1.1428,130,33874.5
3180000,374458,1.2760,8.69,0.4500,0.8690,0.0000,0.000437,0.000428,-1.289816,0.314143,0.082385,1.1663,130,33982.5
3190000,375623,1.2177,8.49,0.4100,0.8490,0.0000,0.000378,0.000389,-1.279462,0.234048,0.081931,1.1478,130,34090.8
3200000,376789,1.1314,8.31,0.3400,0.8310,0.0000,0.000433,0.000415,-1.235783,0.111241,0.081937,1.1042,130,34198.8
3210000,377955,1.2706,8.63,0.4500,0.8630,0.0000,0.000444,0.000465,-1.276796,-0.006388,0.081916,1.1486,130,34306.9
3220000,379120,1.2661,8.69,0.4400,0.8690,0.0000,0.000462,0.000459,-1.281081,0.020380,0.081662,1.1464,131,34415.0
3230000,380295,1.1642,8.45,0.3600,0.8450,0.0000,0.000492,0.002354,-1.299165,0.020766,0.082099,1.1676,132,34523.0
3240000,381458,1.2887,8.72,0.4600,0.8720,0.0000,0.000465,0.000530,-1.268765,-0.004321,0.082229,1.1349,132,34631.0
3250000,382631,1.1943,8.56,0.3800,0.8560,0.0000,0.000470,0.000441,-1.325064,0.014261,0.083232,1.1818,132,34738.7
3260000,383806,1.1705,8.41,0.3700,0.8410,0.0000,0.000358,0.000384,-1.290686,0.039458,0.082513,1.1601,132,34846.3
3270000,384979,1.2633,8.66,0.4400,0.8660,0.0000,0.000357,0.000353,-1.312827,0.074126,0.082384,1.1781,132,34951.1
3280000,386148,1.2760,8.69,0.4500,0.8690,0.0000,0.000452,0.000517,-1.234233,-0.135934,0.083011,1.0977,134,35055.1
3290000,387329,1.1979,8.49,0.3900,0.8490,0.0000,0.000395,0.000446,-1.271393,0.266510,0.082854,1.1453,134,35159.1
3300000,388514,1.0961,8.36,0.3000,0.8360,0.0000,0.000522,0.000460,-1.261689,-0.105414,0.083054,1.1262,134,35265.1
3310000,389689,1.2297,8.62,0.4100,0.8620,0.0000,0.000477,0.000437,-1.267532,0.195376,0.082705,1.1348,134,35371.9
3320000,390870,1.1242,8.34,0.3300,0.8340,0.0000,0.000395,0.000395,-1.317647,0.279484,0.082919,1.1942,134,35479.1
3330000,392051,1.1515,8.42,0.3500,0.8420,0.0000,0.000392,0.000422,-1.337059,0.044922,0.083026,1.2083,134,35586.7
3340000,393232,1.1760,8.47,0.3700,0.8470,0.0000,0.000445,0.000500,-1.292007,0.097359,0.083499,1.1575,134,35694.4
3350000,394417,1.1751,8.46,0.3700,0.8460,0.0000,0.000373,0.000394,-1.280608,0.089770,0.082906,1.1492,135,35802.0
3360000,395597,1.2214,8.53,0.4100,0.8530,0.0000,0.000376,0.000446,-1.269751,0.108565,0.083443,1.1364,135,35910.0
3370000,396789,1.0751,8.24,0.2900,0.8240,0.0000,0.000500,0.000465,-1.261335,-0.027202,0.083700,1.1243,135,36017.8
3380000,397971,1.1242,8.34,0.3300,0.8340,0.0000,0.000790,0.002340,-1.274267,0.061475,0.083639,1.1406,135,36125.2
3390000,399157,1.1961,8.58,0.3800,0.8580,0.0000,0.000405,0.000401,-1.306106,0.690894,0.084265,1.1882,135,36233.1
3400000,400354,1.0015,8.09,0.2300,0.8090,0.0000,0.000501,0.000467,-1.286651,0.202079,0.083441,1.1611,135,36341.0
3410000,401553,1.1960,8.47,0.3900,0.8470,0.0000,0.000411,0.000427,-1.270759,0.052360,0.084108,1.1417,135,36449.0
3420000,402747,1.2343,8.67,0.4100,0.8670,0.0000,0.000418,0.000446,-1.287009,-0.045623,0.084122,1.1503,137,36557.0
3430000,403935,1.1543,8.45,0.3500,0.8450,0.0000,0.000392,0.000381,-1.283495,0.102281,0.084499,1.1489,137,36665.1
3440000,405124,1.2106,8.52,0.4000,0.8520,0.0000,0.000452,0.000429,-1.400707,-0.199246,0.084192,1.2603,137,36772.9
3450000,406307,1.1233,8.33,0.3300,0.8330,0.0000,0.000467,0.000497,-1.283132,0.094247,0.084353,1.1495,137,36881.1
3460000,407511,1.0860,8.25,0.3000,0.8250,0.0000,0.000557,0.000596,-1.326245,-0.091707,0.084066,1.1888,137,36989.1
3470000,408712,1.1888,8.50,0.3800,0.8500,0.0000,0.000468,0.000467,-1.272880,0.072525,0.084561,1.1422,137,37097.2
3480000,409909,1.1015,8.31,0.3100,0.8310,0.0000,0.000390,0.000460,-1.295701,-0.217678,0.084495,1.1538,137,37205.0
3490000,411108,1.0716,8.31,0.2800,0.8310,0.0000,0.000493,0.000551,-1.283731,-0.080143,0.084266,1.1483,137,37313.1
3500000,412299,1.1488,8.39,0.3500,0.8390,0.0000,0.000402,0.000437,-1.292842,0.074206,0.084910,1.1617,137,37420.6
3510000,413496,1.1069,8.37,0.3100,0.8370,0.0000,0.000443,0.000505,-1.315782,-0.067411,0.084556,1.1790,137,37525.6
3520000,414696,0.9924,8.10,0.2200,0.8100,0.0000,0.000448,0.000379,-1.339564,-0.087026,0.084719,1.2024,137,37629.7
3530000,415891,1.1006,8.30,0.3100,0.8300,0.0000,0.000422,0.000388,-1.311901,-0.160437,0.083967,1.1731,139,37733.5
3540000,417097,1.0297,8.18,0.2500,0.8180,0.0000,0.000474,0.000452,-1.347697,-0.126617,0.084488,1.2038,139,37839.5
3550000,418292,1.2106,8.52,0.4000,0.8520,0.0000,0.000451,0.000454,-1.398699,-0.285384,0.084209,1.2523,139,37946.1
3560000,419489,1.1561,8.47,0.3500,0.8470,0.0000,0.000521,0.000425,-1.332752,0.081771,0.083911,1.2032,140,38053.4
3570000,420684,1.1160,8.36,0.3200,0.8360,0.0000,0.000406,0.000420,-1.379280,0.050890,0.084533,1.2502,140,38161.0
3580000,421888,1.0059,8.03,0.2400,0.8030,0.0000,0.000451,0.000399,-1.355154,0.011133,0.084016,1.2210,140,38268.5
3590000,423081,1.1024,8.32,0.3100,0.8320,0.0000,0.000476,0.000527,-1.307774,0.149853,0.084385,1.1754,140,38376.1
3600000,424276,1.0360,8.14,0.2600,0.8140,0.0000,0.000558,0.000446,-1.270121,0.212046,0.083673,1.1391,140,38484.0
3610000,425464,1.2279,8.60,0.4100,0.8600,0.0000,0.000438,0.000385,-1.311298,-0.202941,0.084075,1.1708,140,38591.8
3620000,426651,1.1434,8.44,0.3400,0.8440,0.0000,0.000394,0.000406,-1.350003,-0.030177,0.084463,1.2114,141,38699.8
3630000,427838,1.1315,8.42,0.3300,0.8420,0.0000,0.000387,0.000436,-1.323899,0.131029,0.084215,1.1918,141,38807.7
3640000,429026,1.0978,8.27,0.3100,0.8270,0.0000,0.000425,0.000424,-1.327332,-0.164744,0.084007,1.1808,141,38915.9
3650000,430218,1.1216,8.42,0.3200,0.8420,0.0000,0.000394,0.000475,-1.281143,-0.061731,0.084361,1.1410,141,39023.8
3660000,431408,1.1197,8.40,0.3200,0.8400,0.0000,0.000369,0.000359,-1.343058,0.023147,0.084324,1.2135,141,39131.6
3670000,432591,1.1360,8.36,0.3400,0.8360,0.0000,0.000464,0.000524,-1.306407,0.085082,0.084717,1.1655,141,39239.4
3680000,433782,1.0595,8.18,0.2800,0.8180,0.0000,0.000370,0.000317,-1.271188,0.381845,0.083778,1.1459,142,39347.7
3690000,434974,1.2588,8.61,0.4400,0.8610,0.0000,0.000393,0.000392,-1.312922,-0.195516,0.083790,1.1768,143,39455.5
3700000,436156,1.1170,8.37,0.3200,0.8370,0.0000,0.000464,0.000398,-1.287829,0.110883,0.084235,1.1566,143,39563.2
3710000,437346,1.0751,8.24,0.2900,0.8240,0.0000,0.000472,0.000362,-1.327185,-0.076891,0.083708,1.1884,144,39670.1
3720000,438538,1.0050,8.02,0.2400,0.8020,0.0000,0.000480,0.000447,-1.323025,-0.526396,0.083385,1.1701,144,39774.2
3730000,439722,1.1115,8.42,0.3100,0.8420,0.0000,0.000487,0.000503,-1.305339,-0.098444,0.083082,1.1673,145,39878.1
3740000,440904,1.0888,8.28,0.3000,0.8280,0.0000,0.000451,0.000447,-1.312410,0.082658,0.084274,1.1764,145,39982.4
3750000,442083,1.1543,8.45,0.3500,0.8450,0.0000,0.000393,0.000369,-1.322545,0.038863,0.084069,1.1900,146,40088.6
3760000,443269,1.1269,8.37,0.3300,0.8370,0.0000,0.000492,0.000471,-1.310899,-0.143307,0.083563,1.1677,146,40195.5
3770000,444453,1.0869,8.26,0.3000,0.8260,0.0000,0.000435,0.000383,-1.310910,0.006828,0.082963,1.1760,146,40303.1
3780000,445633,1.1116,8.42,0.3100,0.8420,0.0000,0.000444,0.000482,-1.318022,-0.001640,0.082929,1.1813,146,40410.7
3790000,446821,1.0950,8.24,0.3100,0.8240,0.0000,0.000500,0.000584,-1.303036,0.039030,0.083667,1.1713,147,40518.5
3800000,448008,1.1205,8.30,0.3300,0.8300,0.0000,0.000478,0.000545,-1.255772,-0.062160,0.083403,1.1200,147,40625.9
3810000,449185,1.2270,8.59,0.4100,0.8590,0.0000,0.000345,0.000362,-1.359345,0.156023,0.083427,1.2263,147,40733.9
3820000,450366,1.2561,8.69,0.4300,0.8690,0.0000,0.000307,0.000378,-1.297943,0.076712,0.082859,1.1621,147,40841.4
3830000,451547,1.2451,8.57,0.4300,0.8570,0.0000,0.000430,0.000404,-1.339017,-0.282663,0.082892,1.1877,147,40949.2
3840000,452720,1.1405,8.30,0.3500,0.8300,0.0000,0.000340,0.000392,-1.291457,-0.125372,0.082965,1.1527,147,41057.1
3850000,453898,1.2105,8.52,0.4000,0.8520,0.0000,0.000441,0.000393,-1.291473,0.025807,0.082534,1.1524,148,41164.5
3860000,455065,1.1533,8.44,0.3500,0.8440,0.0000,0.000427,0.000407,-1.291555,-0.059448,0.082423,1.1588,148,41272.2
3870000,456241,1.1843,8.56,0.3700,0.8560,0.0000,0.000380,0.000345,-1.358726,-0.108986,0.083083,1.2225,148,41379.6
3880000,457424,1.1443,8.45,0.3400,0.8450,0.0000,0.000493,0.000422,-1.275154,0.136271,0.082837,1.1473,148,41487.4
3890000,458603,1.2042,8.56,0.3900,0.8560,0.0000,0.000368,0.000376,-1.328259,-0.226256,0.082511,1.1845,150,41595.0
3900000,459773,1.1887,8.50,0.3800,0.8500,0.0000,0.000442,0.000372,-1.312884,-0.220881,0.082388,1.1663,150,41702.5
3910000,460947,1.1242,8.34,0.3300,0.8340,0.0000,0.000331,0.000497,-1.317430,-0.173208,0.082340,1.1809,151,41807.9
3920000,462116,1.2416,8.64,0.4200,0.8640,0.0000,0.000489,0.000413,-1.260893,0.119547,0.082325,1.1308,151,41911.6
3930000,463294,1.1760,8.47,0.3700,0.8470,0.0000,0.000401,0.000441,-1.323157,-0.028830,0.082307,1.1864,151,42015.4
3940000,464474,1.1598,8.51,0.3500,0.8510,0.0000,0.000365,0.000423,-1.318088,0.095182,0.082373,1.1880,151,42120.0
3950000,465646,1.2960,8.69,0.4700,0.8690,0.0000,0.000471,0.000420,-1.334989,-0.108340,0.082345,1.1938,151,42226.2
3960000,466814,1.1424,8.43,0.3400,0.8430,0.0000,0.000600,0.000438,-1.342893,-0.020351,0.082895,1.2022,151,42333.3
3970000,467979,1.2024,8.54,0.3900,0.8540,0.0000,0.000508,0.000560,-1.273360,0.079269,0.082714,1.1372,151,42440.5
3980000,469147,1.0924,8.32,0.3000,0.8320,0.0000,0.000392,0.000390,-1.287243,-0.206133,0.082261,1.1462,151,42547.9
