timestep,episode,mean_reward,mean_length,success_rate,mean_coverage,invalid_rate,critic1_loss,critic2_loss,actor_loss,alpha_loss,alpha,q1_mean,unique_tilings,wall_time
460000,54831,1.4551,9.01,0.6000,0.9010,0.0000,0.000411,0.000486,-1.020444,0.067630,0.063308,0.9097,77,4669.0
470000,55952,1.4641,9.00,0.6100,0.9000,0.0000,0.000450,0.000374,-1.011720,-0.077544,0.063947,0.9051,77,4775.9
480000,57070,1.4251,9.01,0.5700,0.9010,0.0000,0.000380,0.000377,-1.108787,-0.011980,0.063960,1.0048,77,4883.3
490000,58196,1.4096,8.95,0.5600,0.8950,0.0000,0.000345,0.000322,-1.084495,0.194496,0.064459,0.9832,77,4991.1
500000,59321,1.3842,8.89,0.5400,0.8890,0.0000,0.000356,0.000429,-1.114487,0.068925,0.065386,1.0104,77,5099.0
510000,60452,1.2996,8.73,0.4700,0.8730,0.0000,0.000438,0.000396,-1.147495,-0.265455,0.065174,1.0319,78,5207.2
520000,61595,1.3733,8.88,0.5300,0.8880,0.0000,0.000347,0.000368,-1.084870,0.002829,0.066133,0.9738,78,5315.4
530000,62729,1.3504,8.74,0.5200,0.8740,0.0000,0.000428,0.000418,-1.121110,0.016181,0.066162,1.0167,78,5423.5
540000,63873,1.2151,8.57,0.4000,0.8570,0.0000,0.000447,0.000465,-1.133682,-0.100114,0.066847,1.0276,78,5531.8
550000,65006,1.3932,8.88,0.5500,0.8880,0.0000,0.000406,0.000415,-1.126552,0.272599,0.067097,1.0234,79,5640.1
560000,66162,1.2351,8.57,0.4200,0.8570,0.0000,0.000428,0.000443,-1.146178,-0.188141,0.067545,1.0377,79,5748.3
570000,67309,1.4050,8.90,0.5600,0.8900,0.0000,0.000407,0.000470,-1.160412,-0.185291,0.068231,1.0459,79,5853.8
580000,68453,1.2768,8.59,0.4600,0.8590,0.0000,0.000460,0.000329,-1.114328,-0.066520,0.068438,1.0005,81,5957.9
590000,69603,1.2386,8.50,0.4300,0.8500,0.0000,0.000437,0.000449,-1.101130,0.014164,0.068678,0.9922,81,6062.2
600000,70750,1.3633,8.88,0.5200,0.8880,0.0000,0.000385,0.000399,-1.126305,0.087107,0.069484,1.0184,81,6166.1
610000,71901,1.3643,8.89,0.5200,0.8890,0.0000,0.000458,0.000401,-1.106968,0.252266,0.069617,1.0081,81,6272.6
620000,73054,1.2332,8.55,0.4200,0.8550,0.0000,0.000428,0.000373,-1.205848,-0.038477,0.070150,1.0858,81,6380.0
630000,74210,1.2259,8.47,0.4200,0.8470,0.0000,0.000502,0.000499,-1.175112,0.067519,0.070414,1.0652,81,6487.2
640000,75360,1.3270,8.81,0.4900,0.8810,0.0000,0.000529,0.000543,-1.145188,0.140320,0.070951,1.0307,81,6594.8
650000,76522,1.2651,8.68,0.4400,0.8680,0.0000,0.000559,0.000664,-1.152789,0.261289,0.071004,1.0495,81,6702.5
660000,77675,1.2678,8.60,0.4500,0.8600,0.0000,0.000383,0.000432,-1.195654,-0.030144,0.071357,1.0805,82,6810.6
670000,78823,1.1897,8.51,0.3800,0.8510,0.0000,0.000442,0.000476,-1.116673,-0.102657,0.071360,0.9997,82,6918.5
680000,79982,1.2297,8.62,0.4100,0.8620,0.0000,0.000825,0.000763,-1.181319,0.282641,0.071980,1.0716,82,7026.3
690000,81139,1.3214,8.75,0.4900,0.8750,0.0000,0.000479,0.000443,-1.191258,0.204732,0.072097,1.0850,82,7134.2
700000,82292,1.3351,8.79,0.5000,0.8790,0.0000,0.000469,0.000480,-1.182507,-0.207992,0.072292,1.0559,82,7242.2
710000,83448,1.2006,8.52,0.3900,0.8520,0.0000,0.000456,0.000386,-1.158999,0.051104,0.072993,1.0432,82,7350.4
720000,84598,1.3240,8.67,0.5000,0.8670,0.0000,0.000489,0.000442,-1.129353,0.004129,0.073050,1.0149,82,7458.7
730000,85741,1.2188,8.61,0.4000,0.8610,0.0000,0.000588,0.000504,-1.183979,0.048140,0.073623,1.0672,84,7566.6
740000,86899,1.3087,8.72,0.4800,0.8720,0.0000,0.000488,0.000445,-1.200179,0.124499,0.073477,1.0853,84,7674.8
750000,88063,1.2696,8.62,0.4500,0.8620,0.0000,0.000378,0.000439,-1.229704,-0.190005,0.073774,1.1099,84,7782.9
760000,89211,1.2332,8.55,0.4200,0.8550,0.0000,0.000513,0.000431,-1.212823,-0.107085,0.073811,1.0916,84,7891.1
770000,90358,1.2888,8.72,0.4600,0.8720,0.0000,0.000458,0.000483,-1.186990,0.137273,0.074688,1.0728,84,7999.0
780000,91511,1.3377,8.71,0.5100,0.8710,0.0000,0.000473,0.000449,-1.194094,0.035103,0.074425,1.0776,84,8107.0
790000,92669,1.3051,8.68,0.4800,0.8680,0.0000,0.000450,0.000486,-1.215024,-0.234117,0.075098,1.0976,84,8215.5
800000,93823,1.3187,8.72,0.4900,0.8720,0.0000,0.000448,0.000433,-1.235807,0.062485,0.075086,1.1199,84,8323.5
810000,94981,1.3105,8.74,0.4800,0.8740,0.0000,0.000415,0.000397,-1.164741,-0.004642,0.074845,1.0509,84,8431.5
820000,96140,1.1869,8.48,0.3800,0.8480,0.0000,0.000526,0.000503,-1.221277,-0.058230,0.075400,1.0994,84,8539.1
830000,97289,1.2869,8.70,0.4600,0.8700,0.0000,0.000545,0.000538,-1.168296,0.050041,0.075689,1.0520,87,8644.0
840000,98445,1.2950,8.68,0.4700,0.8680,0.0000,0.000458,0.000456,-1.222420,0.282277,0.075470,1.1173,87,8748.3
850000,99601,1.3323,8.76,0.5000,0.8760,0.0000,0.000490,0.000571,-1.206757,-0.239866,0.075979,1.0767,87,8852.5
860000,100750,1.3224,8.76,0.4900,0.8760,0.0000,0.000489,0.000444,-1.189261,0.183526,0.076560,1.0820,87,8958.1
870000,101903,1.2497,8.62,0.4300,0.8620,0.0000,0.000449,0.000544,-1.230624,0.188564,0.076466,1.1170,87,9065.0
880000,103049,1.3342,8.78,0.5000,0.8780,0.0000,0.000563,0.000508,-1.197350,-0.328643,0.076882,1.0631,87,9172.4
890000,104202,1.2305,8.52,0.4200,0.8520,0.0000,0.000509,0.000578,-1.229305,-0.220482,0.076889,1.1053,87,9280.0
900000,105354,1.2659,8.58,0.4500,0.8580,0.0000,0.000408,0.000409,-1.224973,0.046118,0.076952,1.1021,87,9387.8
910000,106513,1.2877,8.60,0.4700,0.8600,0.0000,0.000565,0.000573,-1.206281,0.052676,0.077129,1.0813,87,9495.4
920000,107666,1.2860,8.69,0.4600,0.8690,0.0000,0.000406,0.000434,-1.234570,-0.186119,0.077528,1.1145,87,9603.4
930000,108812,1.3432,8.77,0.5100,0.8770,0.0000,0.000507,0.000401,-1.217808,0.150492,0.077121,1.0976,87,9711.8
940000,109967,1.2732,8.55,0.4600,0.8550,0.0000,0.000512,0.000434,-1.273641,-0.193340,0.077698,1.1390,87,9820.0
950000,111119,1.2341,8.56,0.4200,0.8560,0.0000,0.000479,0.000458,-1.220648,0.199138,0.077958,1.1015,87,9927.9
960000,112282,1.2342,8.56,0.4200,0.8560,0.0000,0.000531,0.000465,-1.259757,-0.137098,0.078037,1.1356,87,10035.7
970000,113427,1.3986,8.83,0.5600,0.8830,0.0000,0.000469,0.000454,-1.268820,-0.103557,0.078202,1.1407,88,10143.7
980000,114595,1.2469,8.59,0.4300,0.8590,0.0000,0.000430,0.000420,-1.228581,0.058018,0.078494,1.1129,88,10252.1
990000,115750,1.2788,8.72,0.4500,0.8720,0.0000,0.000451,0.000420,-1.297162,0.036295,0.078795,1.1719,88,10360.1
1000000,116908,1.3777,8.82,0.5400,0.8820,0.0000,0.000497,0.000478,-1.246030,0.139064,0.078656,1.1210,90,10468.2
1010000,118065,1.1788,8.50,0.3700,0.8500,0.0000,0.000469,0.000518,-1.282148,0.205760,0.079303,1.1574,91,10576.9
1020000,119244,1.1559,8.36,0.3600,0.8360,0.0000,0.000533,0.000545,-1.190669,0.018644,0.080307,1.0689,91,10685.3
1030000,120421,1.1177,8.27,0.3300,0.8270,0.0000,0.000561,0.000499,-1.288856,0.166216,0.080418,1.1673,91,10793.4
1040000,121600,1.0869,8.26,0.3000,0.8260,0.0000,0.000404,0.000402,-1.353596,-0.103639,0.080689,1.2311,92,10901.8
1050000,122781,1.1542,8.45,0.3500,0.8450,0.0000,0.000523,0.000562,-1.269723,0.155075,0.080261,1.1515,92,11010.3
1060000,123965,1.1278,8.38,0.3300,0.8380,0.0000,0.000486,0.000499,-1.261976,0.017824,0.081222,1.1383,92,11118.7
1070000,125154,1.0770,8.26,0.2900,0.8260,0.0000,0.000458,0.000534,-1.292009,0.080296,0.081908,1.1668,92,11226.9
1080000,126352,1.0840,8.23,0.3000,0.8230,0.0000,0.000519,0.000400,-1.263003,0.021772,0.082346,1.1339,92,11335.1
1090000,127559,1.0804,8.19,0.3000,0.8190,0.0000,0.000398,0.000415,-1.353962,-0.035006,0.082832,1.2279,92,11443.3
1100000,128762,1.1760,8.47,0.3700,0.8470,0.0000,0.000475,0.000496,-1.300896,-0.036436,0.083307,1.1725,92,11551.3
1110000,129969,1.1079,8.38,0.3100,0.8380,0.0000,0.000521,0.000499,-1.306728,0.286381,0.083859,1.1942,92,11659.7
1120000,131188,1.1123,8.32,0.3200,0.8320,0.0000,0.000508,0.000537,-1.321036,-0.032294,0.084136,1.1952,92,11768.0
1130000,132405,1.0269,8.15,0.2500,0.8150,0.0000,0.000512,0.000390,-1.287388,0.197064,0.084774,1.1670,92,11876.5
1140000,133629,1.0851,8.24,0.3000,0.8240,0.0000,0.000448,0.000431,-1.306899,-0.001898,0.085250,1.1744,92,11984.7
1150000,134853,0.9397,7.96,0.1800,0.7960,0.0000,0.000521,0.000437,-1.357230,0.054918,0.085333,1.2313,93,12092.9
1160000,136086,1.1059,8.25,0.3200,0.8250,0.0000,0.000474,0.000434,-1.348086,-0.083393,0.085734,1.2136,93,12201.1
1170000,137317,0.9760,8.03,0.2100,0.8030,0.0000,0.000650,0.000513,-1.269619,-0.007816,0.086691,1.1368,93,12309.5
1180000,138552,0.9396,7.96,0.1800,0.7960,0.0000,0.000542,0.000548,-1.302469,0.087116,0.087456,1.1735,93,12417.4
1190000,139790,1.0098,8.18,0.2300,0.8180,0.0000,0.000452,0.000499,-1.392197,0.112197,0.086924,1.2742,94,12525.6
1200000,141032,1.0234,8.22,0.2400,0.8220,0.0000,0.000419,0.000405,-1.361448,-0.025624,0.087394,1.2305,94,12633.8
1210000,142292,0.9005,7.86,0.1500,0.7860,0.0000,0.000552,0.000591,-1.403545,-0.280858,0.087800,1.2667,94,12741.7
1220000,143545,0.8424,7.77,0.1000,0.7770,0.0000,0.000407,0.000460,-1.375507,-0.032560,0.087867,1.2440,94,12850.2
1230000,144793,0.9841,8.01,0.2200,0.8010,0.0000,0.000469,0.000557,-1.370177,-0.208999,0.088615,1.2281,94,12958.1
1240000,146045,0.9068,7.82,0.1600,0.7820,0.0000,0.000447,0.000500,-1.381872,0.025772,0.088775,1.2479,94,13066.3
1250000,147301,0.9806,8.08,0.2100,0.8080,0.0000,0.000532,0.000502,-1.335043,0.066274,0.089550,1.2054,94,13174.5
1260000,148565,0.9269,7.93,0.1700,0.7930,0.0000,0.000473,0.000520,-1.371096,0.076432,0.089915,1.2381,94,13282.9
1270000,149830,0.8778,7.83,0.1300,0.7830,0.0000,0.000488,0.000518,-1.349128,-0.084837,0.089766,1.2151,94,13391.3
1280000,151100,0.8815,7.87,0.1300,0.7870,0.0000,0.000462,0.000473,-1.367909,-0.142455,0.090579,1.2250,94,13499.3
1290000,152356,0.9853,8.13,0.2100,0.8130,0.0000,0.000419,0.000484,-1.391596,0.008768,0.090703,1.2557,94,13607.8
1300000,153620,0.8732,7.78,0.1300,0.7780,0.0000,0.000464,0.000466,-1.361842,0.126174,0.090958,1.2267,95,13715.7
1310000,154885,0.8830,7.67,0.1500,0.7670,0.0000,0.000526,0.000502,-1.371032,-0.097151,0.090084,1.2305,95,13824.1
1320000,156154,0.9434,8.00,0.1800,0.8000,0.0000,0.000570,0.000517,-1.392914,-0.023008,0.089482,1.2558,96,13931.9
1330000,157412,0.9815,8.09,0.2100,0.8090,0.0000,0.000500,0.000504,-1.387644,-0.143547,0.088833,1.2447,96,14040.2
1340000,158642,1.0806,8.30,0.2900,0.8300,0.0000,0.000521,0.000553,-1.355265,-0.185794,0.088102,1.2164,97,14148.6
1350000,159883,1.0204,8.08,0.2500,0.8080,0.0000,0.000432,0.000372,-1.348875,0.050637,0.086705,1.2115,97,14256.6
1360000,161114,1.0741,8.23,0.2900,0.8230,0.0000,0.000448,0.000465,-1.341372,0.044410,0.085719,1.2074,97,14364.7
