update,timestep,episode,mean_reward,mean_length,success_rate,mean_coverage,invalid_rate,policy_loss,value_loss,entropy,approx_kl,unique_tilings,wall_time
10,20480,2962,0.0000,6.75,0.0000,0.6750,0.0000,-0.036593,0.000007,2.5797,0.012653,0,64.8
20,40960,5917,0.0000,6.84,0.0000,0.6840,0.0000,-0.039674,0.000003,2.4044,0.015772,0,129.0
30,61440,8848,0.0000,6.97,0.0000,0.6970,0.0000,-0.041278,0.000002,2.3074,0.016595,0,193.4
40,81920,11784,0.0000,6.86,0.0000,0.6860,0.0000,-0.039098,0.000001,2.2633,0.016888,0,258.0
50,102400,14727,0.0000,6.92,0.0000,0.6920,0.0000,-0.040602,0.000002,2.2405,0.017375,0,322.7
60,122880,17690,0.0000,6.98,0.0000,0.6980,0.0000,-0.044803,0.000006,2.2535,0.019068,1,387.3
70,143360,20665,0.0000,6.83,0.0000,0.6830,0.0000,-0.043146,0.000002,2.1019,0.021448,1,451.9
80,163840,23619,0.0000,6.99,0.0000,0.6990,0.0000,-0.044367,0.000001,1.9993,0.019824,1,516.8
90,184320,26571,0.0000,7.05,0.0000,0.7050,0.0000,-0.043541,0.000000,1.9263,0.021128,1,581.5
100,204800,29537,0.0000,6.95,0.0000,0.6950,0.0000,-0.041452,0.000001,1.9164,0.022872,1,646.0
110,225280,32499,0.0000,6.89,0.0000,0.6890,0.0000,-0.035923,0.000000,1.8994,0.023725,1,710.9
120,245760,35455,0.0000,7.06,0.0000,0.7060,0.0000,-0.045446,0.000001,1.8784,0.024729,1,776.0
130,266240,38397,0.0000,7.06,0.0000,0.7060,0.0000,-0.038937,0.000000,1.8922,0.023322,1,841.5
140,286720,41357,0.0000,6.94,0.0000,0.6940,0.0000,-0.038373,0.000001,1.9644,0.019941,1,907.1
150,307200,44317,0.0000,6.85,0.0000,0.6850,0.0000,-0.047824,0.000000,1.9661,0.023673,1,972.8
160,327680,47293,0.0000,6.88,0.0000,0.6880,0.0000,-0.043797,0.000000,1.9457,0.024265,1,1038.2
170,348160,50276,0.0000,6.76,0.0000,0.6760,0.0000,-0.046065,0.000000,1.9475,0.021061,1,1103.7
180,368640,53254,0.0000,7.00,0.0000,0.7000,0.0000,-0.044733,0.000000,1.9236,0.021510,1,1169.1
190,389120,56209,0.0000,6.89,0.0000,0.6890,0.0000,-0.047145,0.000000,1.8259,0.024548,1,1234.1
200,409600,59170,0.0000,6.94,0.0000,0.6940,0.0000,-0.037290,0.000004,1.7012,0.024672,2,1299.6
210,430080,62124,0.0000,7.05,0.0000,0.7050,0.0000,-0.035563,0.000015,1.6429,0.028773,3,1365.3
220,450560,65059,0.0000,7.03,0.0000,0.7030,0.0000,-0.036534,0.000004,1.6916,0.030820,4,1431.2
230,471040,68000,0.0000,6.74,0.0000,0.6740,0.0000,-0.042704,0.000001,1.6932,0.031430,4,1496.7
240,491520,70962,0.0000,6.79,0.0000,0.6790,0.0000,-0.041773,0.000000,1.5839,0.028430,4,1562.4
250,512000,73924,0.0000,6.90,0.0000,0.6900,0.0000,-0.039561,0.000005,1.5869,0.028488,5,1627.7
260,532480,76879,0.0000,7.05,0.0000,0.7050,0.0000,-0.040379,0.000000,1.6215,0.028354,5,1693.5
270,552960,79815,0.0000,7.00,0.0000,0.7000,0.0000,-0.039215,0.000000,1.5934,0.030583,5,1759.0
280,573440,82747,0.0000,7.03,0.0000,0.7030,0.0000,-0.043196,0.000001,1.6844,0.028671,6,1824.3
290,593920,85694,0.0000,6.77,0.0000,0.6770,0.0000,-0.039132,0.000000,1.7151,0.025668,6,1889.8
300,614400,88645,0.0000,6.81,0.0000,0.6810,0.0000,-0.035810,0.000000,1.7512,0.027929,6,1955.2
310,634880,91602,0.0000,6.84,0.0000,0.6840,0.0000,-0.032179,0.000000,1.6546,0.030435,6,2020.8
320,655360,94549,0.0000,6.82,0.0000,0.6820,0.0000,-0.034350,0.000001,1.6492,0.028323,7,2085.8
330,675840,97506,0.0000,6.90,0.0000,0.6900,0.0000,-0.035210,0.000000,1.7095,0.027401,7,2151.3
340,696320,100448,0.0000,6.88,0.0000,0.6880,0.0000,-0.032374,0.000000,1.7170,0.028551,7,2216.4
350,716800,103407,0.0000,7.02,0.0000,0.7020,0.0000,-0.031220,0.000000,1.6531,0.025476,7,2281.8
360,737280,106357,0.0000,7.12,0.0000,0.7120,0.0000,-0.032867,0.000000,1.5534,0.030183,7,2347.4
370,757760,109321,0.0000,6.86,0.0000,0.6860,0.0000,-0.035201,0.000000,1.7553,0.026011,7,2412.7
380,778240,112275,0.0000,6.90,0.0000,0.6900,0.0000,-0.035557,0.000000,1.8146,0.025310,7,2478.5
390,798720,115218,0.0000,7.13,0.0000,0.7130,0.0000,-0.031628,0.000000,1.8208,0.024617,7,2544.2
400,819200,118171,0.0000,6.81,0.0000,0.6810,0.0000,-0.038525,0.000000,1.8828,0.026808,7,2610.1
410,839680,121142,0.0000,6.90,0.0000,0.6900,0.0000,-0.032184,0.000000,1.7890,0.026202,7,2675.9
420,860160,124084,0.0000,6.91,0.0000,0.6910,0.0000,-0.032193,0.000000,1.8777,0.026577,7,2741.6
430,880640,127019,0.0000,6.84,0.0000,0.6840,0.0000,-0.034760,0.000000,1.8517,0.026811,7,2807.0
440,901120,129969,0.0000,6.93,0.0000,0.6930,0.0000,-0.037056,0.000000,1.9381,0.025123,7,2871.8
450,921600,132921,0.0000,6.95,0.0000,0.6950,0.0000,-0.037309,0.000000,1.9274,0.025633,7,2937.8
460,942080,135880,0.0000,6.93,0.0000,0.6930,0.0000,-0.036639,0.000000,1.8829,0.027900,7,3003.2
470,962560,138860,0.0000,6.85,0.0000,0.6850,0.0000,-0.035992,0.000000,1.8992,0.028118,7,3069.0
480,983040,141827,0.0000,7.02,0.0000,0.7020,0.0000,-0.039628,0.000000,1.8186,0.029891,7,3134.7
490,1003520,144784,0.0000,6.92,0.0000,0.6920,0.0000,-0.037695,0.000000,1.8559,0.031934,7,3200.0
500,1024000,147764,0.0000,6.86,0.0000,0.6860,0.0000,-0.030743,0.000000,1.8796,0.029354,7,3265.9
510,1044480,150740,0.0000,6.80,0.0000,0.6800,0.0000,-0.039077,0.000000,1.8777,0.046008,7,3331.7
520,1064960,153713,0.0000,6.81,0.0000,0.6810,0.0000,-0.031638,0.000000,1.9190,0.039511,7,3397.0
530,1085440,156688,0.0000,6.72,0.0000,0.6720,0.0000,-0.035970,0.000000,1.9781,0.033956,7,3462.4
540,1105920,159664,0.0000,7.01,0.0000,0.7010,0.0000,-0.031894,0.000000,1.9120,0.029322,7,3527.9
550,1126400,162637,0.0000,6.77,0.0000,0.6770,0.0000,-0.040374,0.000000,1.9345,0.030637,7,3593.3
560,1146880,165617,0.0000,6.94,0.0000,0.6940,0.0000,-0.035827,0.000000,1.9722,0.032629,7,3659.1
570,1167360,168577,0.0000,6.86,0.0000,0.6860,0.0000,-0.037651,0.000000,1.9769,0.031300,7,3724.7
580,1187840,171549,0.0000,6.89,0.0000,0.6890,0.0000,-0.041367,0.000000,1.9330,0.032090,7,3790.5
590,1208320,174521,0.0000,6.88,0.0000,0.6880,0.0000,-0.035983,0.000000,1.9724,0.032725,7,3856.2
600,1228800,177480,0.0000,6.94,0.0000,0.6940,0.0000,-0.034371,0.000000,2.0123,0.028123,7,3922.0
610,1249280,180442,0.0000,6.99,0.0000,0.6990,0.0000,-0.033798,0.000000,1.9677,0.030114,7,3987.7
620,1269760,183406,0.0000,6.82,0.0000,0.6820,0.0000,-0.039285,0.000000,2.0538,0.022962,7,4053.3
630,1290240,186365,0.0000,6.92,0.0000,0.6920,0.0000,-0.039253,0.000000,1.9509,0.031351,7,4119.1
640,1310720,189324,0.0000,6.89,0.0000,0.6890,0.0000,-0.046656,0.000000,1.9994,0.030877,7,4184.7
650,1331200,192274,0.0000,6.95,0.0000,0.6950,0.0000,-0.040320,0.000000,2.0159,0.030516,7,4249.8
660,1351680,195231,0.0000,6.85,0.0000,0.6850,0.0000,-0.047331,0.000000,1.9679,0.030934,7,4315.5
670,1372160,198190,0.0000,6.86,0.0000,0.6860,0.0000,-0.044260,0.000000,1.8130,0.029146,7,4381.0
680,1392640,201140,0.0000,7.09,0.0000,0.7090,0.0000,-0.036869,0.000000,1.7821,0.034023,7,4446.2
690,1413120,204075,0.0000,6.87,0.0000,0.6870,0.0000,-0.045432,0.000000,1.7958,0.033091,7,4511.2
700,1433600,207029,0.0000,7.09,0.0000,0.7090,0.0000,-0.038938,0.000000,1.7962,0.034904,7,4575.9
710,1454080,209996,0.0000,7.08,0.0000,0.7080,0.0000,-0.033790,0.000000,1.7515,0.034637,7,4640.4
720,1474560,212953,0.0000,7.13,0.0000,0.7130,0.0000,-0.038472,0.000000,1.8434,0.031908,7,4705.4
730,1495040,215907,0.0000,7.04,0.0000,0.7040,0.0000,-0.049890,0.000000,1.8047,0.034335,7,4770.5
740,1515520,218853,0.0000,7.02,0.0000,0.7020,0.0000,-0.037488,0.000000,1.7869,0.039274,7,4835.4
750,1536000,221809,0.0000,7.03,0.0000,0.7030,0.0000,-0.043819,0.000000,1.7974,0.043494,7,4900.4
760,1556480,224764,0.0000,7.03,0.0000,0.7030,0.0000,-0.031396,0.000006,1.7721,0.037206,8,4965.1
770,1576960,227723,0.0000,6.90,0.0000,0.6900,0.0000,-0.033206,0.000000,1.8009,0.040515,8,5030.1
780,1597440,230662,0.0000,6.99,0.0000,0.6990,0.0000,-0.030402,0.000000,1.7943,0.032393,8,5094.9
790,1617920,233601,0.0000,6.85,0.0000,0.6850,0.0000,-0.031966,0.000000,1.7996,0.044475,8,5160.0
800,1638400,236544,0.0000,6.94,0.0000,0.6940,0.0000,-0.029710,0.000000,1.7937,0.035091,8,5224.5
810,1658880,239474,0.0000,6.95,0.0000,0.6950,0.0000,-0.034887,0.000000,1.8106,0.034377,8,5289.5
820,1679360,242419,0.0000,6.78,0.0000,0.6780,0.0000,-0.035971,0.000000,1.8292,0.026965,8,5354.4
830,1699840,245377,0.0000,6.84,0.0000,0.6840,0.0000,-0.036184,0.000000,1.7594,0.035157,8,5419.3
840,1720320,248342,0.0000,6.92,0.0000,0.6920,0.0000,-0.040054,0.000001,1.8387,0.034043,9,5484.5
850,1740800,251311,0.0000,6.83,0.0000,0.6830,0.0000,-0.037462,0.000000,1.8682,0.034534,9,5549.7
860,1761280,254282,0.0000,6.97,0.0000,0.6970,0.0000,-0.035211,0.000000,1.8055,0.037804,9,5614.3
870,1781760,257232,0.0000,7.02,0.0000,0.7020,0.0000,-0.029911,0.000000,1.7428,0.035238,9,5679.7
880,1802240,260181,0.0000,6.77,0.0000,0.6770,0.0000,-0.032319,0.000000,1.7271,0.033883,9,5745.0
890,1822720,263118,0.0000,7.05,0.0000,0.7050,0.0000,-0.034880,0.000000,1.7089,0.033235,9,5810.4
900,1843200,266048,0.0000,6.97,0.0000,0.6970,0.0000,-0.031517,0.000000,1.7817,0.033800,9,5875.5
910,1863680,268994,0.0000,6.88,0.0000,0.6880,0.0000,-0.032136,0.000000,1.8642,0.025552,9,5940.6
920,1884160,271942,0.0000,6.87,0.0000,0.6870,0.0000,-0.033958,0.000000,1.8772,0.034281,9,6005.8
930,1904640,274896,0.0000,6.92,0.0000,0.6920,0.0000,-0.025645,0.000000,1.9134,0.029951,9,6071.1
940,1925120,277866,0.0000,6.86,0.0000,0.6860,0.0000,-0.034836,0.000000,1.8883,0.033349,9,6136.2
950,1945600,280832,0.0000,7.02,0.0000,0.7020,0.0000,-0.044914,0.000000,1.8700,0.035230,9,6201.1
960,1966080,283799,0.0000,7.04,0.0000,0.7040,0.0000,-0.021426,0.001402,1.9370,0.025218,10,6265.2
970,1986560,286760,0.0000,7.01,0.0000,0.7010,0.0000,-0.035845,0.000000,1.9580,0.030830,10,6330.4
