update,timestep,episode,mean_reward,mean_length,success_rate,mean_coverage,invalid_rate,policy_loss,value_loss,entropy,approx_kl,unique_tilings,wall_time
10,20480,2908,0.6819,7.11,0.0000,0.7110,0.0000,-0.041285,0.002013,2.5740,0.012076,0,59.3
20,40960,5726,0.7022,7.33,0.0000,0.7330,0.0000,-0.041352,0.001619,2.3764,0.014419,0,119.6
30,61440,8492,0.7077,7.39,0.0000,0.7390,0.0000,-0.041423,0.001725,2.2712,0.016236,1,181.1
40,81920,11239,0.7058,7.37,0.0000,0.7370,0.0000,-0.043347,0.001820,2.1666,0.020207,1,241.6
50,102400,13962,0.7243,7.57,0.0000,0.7570,0.0000,-0.040839,0.001533,2.0788,0.020105,1,298.0
60,122880,16656,0.7334,7.67,0.0000,0.7670,0.0000,-0.045457,0.001730,2.0366,0.023239,1,361.1
70,143360,19339,0.7243,7.57,0.0000,0.7570,0.0000,-0.042371,0.001699,1.9347,0.021999,2,424.8
80,163840,22021,0.7636,7.78,0.0100,0.7780,0.0000,-0.029829,0.014536,1.8860,0.021568,6,488.6
90,184320,24680,0.7408,7.75,0.0000,0.7750,0.0000,-0.045202,0.001476,1.8457,0.021157,6,552.2
100,204800,27332,0.7344,7.68,0.0000,0.7680,0.0000,-0.046251,0.001354,1.9268,0.020983,7,615.5
110,225280,29961,0.7427,7.77,0.0000,0.7770,0.0000,-0.044028,0.001344,1.7166,0.023699,7,679.0
120,245760,32573,0.7773,7.93,0.0100,0.7930,0.0000,-0.037526,0.007728,1.6623,0.021603,9,743.3
130,266240,35186,0.7500,7.85,0.0000,0.7850,0.0000,-0.045538,0.001816,1.7087,0.023676,11,807.4
140,286720,37780,0.7655,8.02,0.0000,0.8020,0.0000,-0.043393,0.001574,1.5673,0.024953,12,870.4
150,307200,40374,0.7472,7.82,0.0000,0.7820,0.0000,-0.046391,0.001474,1.5404,0.022217,12,933.9
160,327680,42942,0.7665,8.03,0.0000,0.8030,0.0000,-0.046135,0.001438,1.4484,0.026557,14,997.3
170,348160,45519,0.7755,7.91,0.0100,0.7910,0.0000,-0.033477,0.007906,1.5482,0.022665,17,1059.7
180,368640,48104,0.7638,8.00,0.0000,0.8000,0.0000,-0.038768,0.007942,1.6125,0.021732,22,1119.7
190,389120,50689,0.7573,7.93,0.0000,0.7930,0.0000,-0.032670,0.009897,1.5430,0.023746,26,1176.1
200,409600,53274,0.7554,7.91,0.0000,0.7910,0.0000,-0.049060,0.001712,1.5470,0.026294,31,1232.7
210,430080,55815,0.7756,8.13,0.0000,0.8130,0.0000,-0.040882,0.001404,1.2997,0.024681,32,1288.6
220,450560,58349,0.7811,8.19,0.0000,0.8190,0.0000,-0.047334,0.001578,1.4213,0.025179,36,1349.0
230,471040,60874,0.7756,8.13,0.0000,0.8130,0.0000,-0.034582,0.007438,1.3111,0.024640,39,1409.9
240,491520,63381,0.7729,8.10,0.0000,0.8100,0.0000,-0.042549,0.001382,1.2908,0.026008,41,1472.0
250,512000,65891,0.8020,8.31,0.0100,0.8310,0.0000,-0.031956,0.009532,1.2518,0.024731,44,1534.3
260,532480,68433,0.7837,8.00,0.0100,0.8000,0.0000,-0.036588,0.008233,1.5625,0.020324,52,1595.1
270,552960,70986,0.7992,8.17,0.0100,0.8170,0.0000,-0.031896,0.007934,1.3704,0.020983,54,1656.6
280,573440,73513,0.7536,7.89,0.0000,0.7890,0.0000,-0.047001,0.001467,1.2739,0.024966,55,1716.7
290,593920,76053,0.7737,8.11,0.0000,0.8110,0.0000,-0.041868,0.003477,1.3816,0.024559,62,1780.4
300,614400,78580,0.7637,8.00,0.0000,0.8000,0.0000,-0.040486,0.008055,1.3957,0.023155,65,1843.8
310,634880,81108,0.7710,8.08,0.0000,0.8080,0.0000,-0.037811,0.008030,1.4056,0.023750,69,1908.7
320,655360,83615,0.8003,8.40,0.0000,0.8400,0.0000,-0.026719,0.007523,1.2587,0.020741,71,1974.6
330,675840,86130,0.8010,8.30,0.0100,0.8300,0.0000,-0.034604,0.005196,1.3195,0.020534,74,2037.1
340,696320,88665,0.7808,7.97,0.0200,0.7970,0.0000,-0.036170,0.011600,1.4142,0.018644,77,2101.4
350,716800,91221,0.7590,7.95,0.0000,0.7950,0.0000,-0.042663,0.005736,1.5263,0.020582,81,2166.9
360,737280,93780,0.7600,7.96,0.0000,0.7960,0.0000,-0.041728,0.004215,1.4255,0.023409,84,2233.2
370,757760,96364,0.7645,7.90,0.0100,0.7900,0.0000,-0.042822,0.005884,1.5547,0.022960,87,2298.7
380,778240,98966,0.8000,7.96,0.0300,0.7960,0.0000,-0.030730,0.020368,1.6619,0.021894,93,2364.7
390,798720,101593,0.7371,7.71,0.0000,0.7710,0.0000,-0.047408,0.003505,1.6678,0.022419,95,2429.7
400,819200,104183,0.7600,7.96,0.0000,0.7960,0.0000,-0.043495,0.003334,1.5617,0.023166,97,2494.6
410,839680,106731,0.7710,8.08,0.0000,0.8080,0.0000,-0.038128,0.005192,1.4465,0.020707,102,2559.8
420,860160,109320,0.7890,7.95,0.0300,0.7950,0.0000,-0.036875,0.009730,1.6115,0.019375,104,2625.0
430,880640,111895,0.8008,7.86,0.0500,0.7860,0.0000,-0.031496,0.017174,1.5972,0.020835,104,2689.3
440,901120,114449,0.9924,8.21,0.2100,0.8210,0.0000,-0.026320,0.040744,1.3040,0.017587,106,2754.5
