update,timestep,episode,mean_reward,mean_length,success_rate,mean_coverage,invalid_rate,loss,epsilon,unique_tilings,wall_time
1,10000,1439,0.6716,7.00,0.0000,0.7000,0.0000,0.012943,1.0000,0,1.8
2501,20000,2874,0.6809,7.10,0.0000,0.7100,0.0000,0.000438,0.9810,0,13.4
5001,30000,4311,0.6660,6.94,0.0000,0.6940,0.0000,0.000415,0.9620,0,25.4
7501,40000,5749,0.6688,6.97,0.0000,0.6970,0.0000,0.000361,0.9430,0,37.3
10001,50000,7180,0.6698,6.98,0.0000,0.6980,0.0000,0.000379,0.9240,0,48.8
12501,60000,8603,0.6716,7.00,0.0000,0.7000,0.0000,0.000341,0.9050,0,59.7
15001,70000,10024,0.6615,6.89,0.0000,0.6890,0.0000,0.000322,0.8860,0,70.7
17501,80000,11443,0.6790,7.08,0.0000,0.7080,0.0000,0.000333,0.8670,0,81.8
20001,90000,12860,0.6819,7.11,0.0000,0.7110,0.0000,0.000342,0.8480,0,92.7
22501,100000,14277,0.6781,7.07,0.0000,0.7070,0.0000,0.000347,0.8290,0,103.9
25001,110000,15691,0.6910,7.21,0.0000,0.7210,0.0000,0.000341,0.8100,0,115.7
27501,120000,17092,0.6855,7.15,0.0000,0.7150,0.0000,0.000329,0.7910,0,128.1
30001,130000,18497,0.7022,7.33,0.0000,0.7330,0.0000,0.000324,0.7720,0,140.0
32501,140000,19890,0.6818,7.11,0.0000,0.7110,0.0000,0.000352,0.7530,0,152.3
35001,150000,21289,0.6799,7.09,0.0000,0.7090,0.0000,0.000331,0.7340,0,163.8
37501,160000,22680,0.6910,7.21,0.0000,0.7210,0.0000,0.000330,0.7150,0,176.3
40001,170000,24075,0.6883,7.18,0.0000,0.7180,0.0000,0.000330,0.6960,0,187.7
42501,180000,25461,0.6882,7.18,0.0000,0.7180,0.0000,0.000319,0.6770,0,199.5
45001,190000,26847,0.6817,7.11,0.0000,0.7110,0.0000,0.000333,0.6580,0,211.4
47501,200000,28227,0.6957,7.26,0.0000,0.7260,0.0000,0.000340,0.6390,0,223.6
50001,210000,29599,0.6911,7.21,0.0000,0.7210,0.0000,0.000329,0.6200,0,235.6
52501,220000,30974,0.6846,7.14,0.0000,0.7140,0.0000,0.000345,0.6010,0,248.4
55001,230000,32341,0.7030,7.34,0.0000,0.7340,0.0000,0.000319,0.5820,0,260.9
57501,240000,33707,0.7085,7.40,0.0000,0.7400,0.0000,0.000345,0.5630,0,273.1
60001,250000,35064,0.7058,7.37,0.0000,0.7370,0.0000,0.000323,0.5440,1,285.3
62501,260000,36422,0.7021,7.33,0.0000,0.7330,0.0000,0.000357,0.5250,1,298.0
