update,timestep,episode,mean_reward,mean_length,success_rate,mean_coverage,invalid_rate,policy_loss,value_loss,entropy,approx_kl,unique_tilings,wall_time
10,20480,2896,0.6735,7.02,0.0000,0.7020,0.0000,-0.041409,0.001977,2.6007,0.011935,0,59.0
20,40960,5727,0.6930,7.23,0.0000,0.7230,0.0000,-0.041456,0.001833,2.4370,0.013385,1,124.0
30,61440,8500,0.7132,7.45,0.0000,0.7450,0.0000,-0.043741,0.001719,2.2798,0.017763,1,188.1
40,81920,11248,0.7269,7.60,0.0000,0.7600,0.0000,-0.045157,0.001587,2.1502,0.019323,1,254.4
50,102400,13980,0.7096,7.41,0.0000,0.7410,0.0000,-0.043768,0.001748,2.1758,0.020281,2,320.9
60,122880,16683,0.7132,7.45,0.0000,0.7450,0.0000,-0.047255,0.001619,2.0963,0.021486,2,387.9
70,143360,19377,0.7233,7.56,0.0000,0.7560,0.0000,-0.041577,0.001629,1.9221,0.022700,2,454.9
80,163840,22038,0.7324,7.66,0.0000,0.7660,0.0000,-0.044047,0.001599,1.8635,0.023146,2,521.8
90,184320,24679,0.7444,7.79,0.0000,0.7790,0.0000,-0.048720,0.001423,1.8263,0.024749,3,588.7
100,204800,27319,0.7390,7.73,0.0000,0.7730,0.0000,-0.048795,0.001444,1.7961,0.026075,3,655.5
110,225280,29948,0.7491,7.84,0.0000,0.7840,0.0000,-0.042760,0.001580,1.7269,0.023034,4,722.5
120,245760,32567,0.7617,7.76,0.0100,0.7760,0.0000,-0.042021,0.008053,1.8785,0.021225,7,789.7
130,266240,35186,0.7445,7.79,0.0000,0.7790,0.0000,-0.045797,0.001446,1.6133,0.023252,7,856.8
140,286720,37763,0.7646,8.01,0.0000,0.8010,0.0000,-0.029373,0.007809,1.4532,0.022512,12,923.0
150,307200,40320,0.7765,8.14,0.0000,0.8140,0.0000,-0.044491,0.001622,1.3775,0.021404,15,990.0
160,327680,42847,0.7728,8.10,0.0000,0.8100,0.0000,-0.045566,0.001470,1.1718,0.023312,16,1056.1
170,348160,45347,0.7811,8.19,0.0000,0.8190,0.0000,-0.037268,0.001541,1.0763,0.022659,19,1123.2
180,368640,47820,0.8039,8.44,0.0000,0.8440,0.0000,-0.034876,0.001277,0.9980,0.021411,20,1190.2
190,389120,50304,0.8066,8.36,0.0100,0.8360,0.0000,-0.033201,0.003200,1.0128,0.020166,24,1257.0
200,409600,52798,0.7765,8.14,0.0000,0.8140,0.0000,-0.028855,0.006741,1.1792,0.022461,26,1324.1
210,430080,55309,0.8117,7.98,0.0500,0.7980,0.0000,-0.028319,0.016926,1.3906,0.022526,28,1391.1
