update,timestep,episode,mean_reward,mean_length,success_rate,mean_coverage,invalid_rate,policy_loss,value_loss,entropy,approx_kl,unique_tilings,wall_time
530,1085440,118962,1.9450,10.00,1.0000,1.0000,0.0000,-0.003310,0.000393,0.2195,0.010507,15,3729.3
540,1105920,121014,1.9323,9.97,0.9900,0.9970,0.0000,-0.005785,0.003131,0.2730,0.010678,15,3800.2
550,1126400,123070,1.9450,10.00,1.0000,1.0000,0.0000,-0.003620,0.000491,0.2223,0.010684,15,3870.3
560,1146880,125123,1.8996,9.94,0.9600,0.9940,0.0000,-0.009392,0.009047,0.2599,0.011447,15,3941.2
570,1167360,127175,1.9086,9.93,0.9700,0.9930,0.0000,-0.008416,0.003493,0.2590,0.008136,16,4012.0
580,1187840,129238,1.7796,9.72,0.8600,0.9720,0.0000,-0.019235,0.022000,0.2441,0.030796,16,4082.7
590,1208320,131292,1.9450,10.00,1.0000,1.0000,0.0000,-0.005952,0.002076,0.1831,0.010500,16,4153.1
600,1228800,133345,1.9223,9.97,0.9800,0.9970,0.0000,-0.008267,0.003060,0.2008,0.009948,16,4223.3
610,1249280,135397,1.9214,9.96,0.9800,0.9960,0.0000,-0.006251,0.006072,0.2367,0.011795,16,4293.7
620,1269760,137449,1.9214,9.96,0.9800,0.9960,0.0000,-0.001700,0.001883,0.1619,0.007948,16,4363.9
630,1290240,139506,1.9323,9.97,0.9900,0.9970,0.0000,-0.002808,0.001056,0.1548,0.012554,16,4433.9
640,1310720,141565,1.9223,9.97,0.9800,0.9970,0.0000,-0.005344,0.002733,0.1489,0.010155,16,4504.5
650,1331200,143618,1.9096,9.94,0.9700,0.9940,0.0000,-0.008927,0.010971,0.1696,0.013674,16,4575.1
660,1351680,145670,1.9214,9.96,0.9800,0.9960,0.0000,-0.003598,0.001921,0.1484,0.011047,16,4645.6
670,1372160,147723,1.8859,9.90,0.9500,0.9900,0.0000,-0.003485,0.007815,0.2032,0.007111,16,4716.1
680,1392640,149779,1.9323,9.97,0.9900,0.9970,0.0000,-0.007148,0.001552,0.2370,0.009763,16,4786.8
690,1413120,151833,1.9223,9.97,0.9800,0.9970,0.0000,-0.005762,0.004656,0.2017,0.006633,16,4857.3
700,1433600,153887,1.8750,9.89,0.9400,0.9890,0.0000,-0.009800,0.011102,0.2373,0.013349,16,4927.8
710,1454080,155938,1.9450,10.00,1.0000,1.0000,0.0000,-0.006511,0.002596,0.2004,0.010517,16,4998.5
720,1474560,157989,1.9332,9.98,0.9900,0.9980,0.0000,-0.006649,0.002716,0.2331,0.007080,16,5068.5
730,1495040,160044,1.9450,10.00,1.0000,1.0000,0.0000,-0.006050,0.000357,0.2168,0.009210,16,5139.1
740,1515520,162098,1.9450,10.00,1.0000,1.0000,0.0000,-0.006372,0.000662,0.1929,0.006971,16,5209.7
750,1536000,164147,1.9450,10.00,1.0000,1.0000,0.0000,-0.007547,0.000250,0.2345,0.006756,16,5280.2
760,1556480,166197,1.9450,10.00,1.0000,1.0000,0.0000,-0.003514,0.001320,0.2118,0.006301,16,5350.5
770,1576960,168248,1.9332,9.98,0.9900,0.9980,0.0000,-0.009063,0.003375,0.2026,0.008529,16,5420.7
780,1597440,170300,1.9204,9.95,0.9800,0.9950,0.0000,-0.005987,0.004544,0.1989,0.013567,16,5491.2
790,1617920,172353,1.9223,9.97,0.9800,0.9970,0.0000,-0.002963,0.003621,0.1844,0.008801,16,5561.6
800,1638400,174404,1.9450,10.00,1.0000,1.0000,0.0000,-0.002432,0.000231,0.1726,0.008870,16,5632.0
810,1658880,176455,1.9323,9.97,0.9900,0.9970,0.0000,-0.005703,0.002541,0.2141,0.009311,16,5702.5
820,1679360,178515,1.9450,10.00,1.0000,1.0000,0.0000,-0.005246,0.000331,0.1875,0.010284,16,5773.1
830,1699840,180575,1.9450,10.00,1.0000,1.0000,0.0000,-0.007558,0.000361,0.1946,0.008050,16,5843.7
840,1720320,182628,1.9450,10.00,1.0000,1.0000,0.0000,-0.004508,0.000578,0.1866,0.006192,16,5914.2
850,1740800,184681,1.9214,9.96,0.9800,0.9960,0.0000,-0.006536,0.002021,0.1592,0.007490,16,5984.9
860,1761280,186733,1.9450,10.00,1.0000,1.0000,0.0000,-0.003174,0.002468,0.2121,0.006719,16,6055.4
870,1781760,188792,1.9450,10.00,1.0000,1.0000,0.0000,-0.006119,0.000874,0.1936,0.008011,16,6126.0
880,1802240,190843,1.9323,9.97,0.9900,0.9970,0.0000,-0.008551,0.001778,0.2410,0.006583,16,6196.3
890,1822720,192896,1.9205,9.95,0.9800,0.9950,0.0000,-0.008489,0.001564,0.2355,0.007881,16,6267.0
900,1843200,194949,1.9450,10.00,1.0000,1.0000,0.0000,-0.005794,0.000322,0.2062,0.005843,16,6337.4
910,1863680,196999,1.9186,9.93,0.9800,0.9930,0.0000,-0.005654,0.002750,0.2535,0.005119,16,6408.3
920,1884160,199050,1.9450,10.00,1.0000,1.0000,0.0000,-0.006298,0.000331,0.2394,0.007097,16,6478.6
930,1904640,201127,1.8551,9.89,0.9200,0.9890,0.0000,-0.017201,0.016444,0.2698,0.012346,16,6549.2
940,1925120,203181,1.9450,10.00,1.0000,1.0000,0.0000,-0.006560,0.002266,0.2481,0.006245,16,6619.9
950,1945600,205232,1.9341,9.99,0.9900,0.9990,0.0000,-0.009062,0.002154,0.2215,0.007027,16,6690.2
960,1966080,207283,1.9332,9.98,0.9900,0.9980,0.0000,-0.007734,0.000854,0.2161,0.006219,16,6760.7
