update,timestep,episode,mean_reward,mean_length,success_rate,mean_coverage,invalid_rate,loss,epsilon,unique_tilings,wall_time
10001,50000,7207,0.0000,7.11,0.0000,0.7110,0.0000,0.000000,0.9240,0,92.0
22501,100000,14381,0.0000,6.95,0.0000,0.6950,0.0000,0.000000,0.8290,2,214.6
35001,150000,21562,0.0000,6.91,0.0000,0.6910,0.0000,0.000000,0.7340,2,342.2
47501,200000,28764,0.0000,6.80,0.0000,0.6800,0.0000,0.000000,0.6390,3,477.0
60001,250000,35916,0.0000,7.11,0.0000,0.7110,0.0000,0.000000,0.5440,3,625.2
72501,300000,43130,0.0000,6.67,0.0000,0.6670,0.0000,0.000009,0.4490,3,788.0
85001,350000,50353,0.0000,7.02,0.0000,0.7020,0.0000,0.000000,0.3540,5,954.5
97501,400000,57549,0.0000,6.87,0.0000,0.6870,0.0000,0.000000,0.2590,5,1126.7
110001,450000,64782,0.0000,6.78,0.0000,0.6780,0.0000,0.000000,0.1640,5,1302.8
122501,500000,72049,0.0000,6.94,0.0000,0.6940,0.0000,0.000000,0.0690,6,1476.5
135001,550000,79308,0.0000,6.84,0.0000,0.6840,0.0000,0.000000,0.0500,6,1646.6
147501,600000,86591,0.0000,6.99,0.0000,0.6990,0.0000,0.000000,0.0500,6,1812.7
160001,650000,93837,0.0000,7.03,0.0000,0.7030,0.0000,0.000006,0.0500,6,1973.8
172501,700000,101066,0.0000,6.89,0.0000,0.6890,0.0000,0.000000,0.0500,7,2133.8
185001,750000,108303,0.0000,6.85,0.0000,0.6850,0.0000,0.000000,0.0500,7,2293.8
197501,800000,115523,0.0000,6.91,0.0000,0.6910,0.0000,0.000000,0.0500,7,2453.4
210001,850000,122771,0.0000,6.90,0.0000,0.6900,0.0000,0.000000,0.0500,7,2614.1
222501,900000,130000,0.0100,6.96,0.0100,0.6960,0.0000,0.000000,0.0500,8,2774.5
235001,950000,137235,0.0000,6.88,0.0000,0.6880,0.0000,0.000001,0.0500,9,2934.4
247501,1000000,144484,0.0000,7.07,0.0000,0.7070,0.0000,0.000000,0.0500,10,3094.0
260001,1050000,151755,0.0000,6.86,0.0000,0.6860,0.0000,0.000000,0.0500,10,3254.0
272501,1100000,159035,0.0000,7.15,0.0000,0.7150,0.0000,0.000001,0.0500,10,3411.6
285001,1150000,166280,0.0000,7.04,0.0000,0.7040,0.0000,0.000000,0.0500,11,3572.4
297501,1200000,173518,0.0000,6.87,0.0000,0.6870,0.0000,0.000000,0.0500,12,3740.9
310001,1250000,180756,0.0000,6.95,0.0000,0.6950,0.0000,0.000000,0.0500,12,3906.2
322501,1300000,187986,0.0000,6.92,0.0000,0.6920,0.0000,0.000000,0.0500,14,4071.0
335001,1350000,195250,0.0000,6.94,0.0000,0.6940,0.0000,0.000000,0.0500,15,4234.6
347501,1400000,202550,0.0000,6.97,0.0000,0.6970,0.0000,0.000000,0.0500,15,4398.6
360001,1450000,209810,0.0000,6.60,0.0000,0.6600,0.0000,0.000000,0.0500,17,4548.0
372501,1500000,217066,0.0000,6.75,0.0000,0.6750,0.0000,0.000000,0.0500,17,4683.5
385001,1550000,224354,0.0000,6.80,0.0000,0.6800,0.0000,0.000000,0.0500,17,4819.7
397501,1600000,231608,0.0000,6.93,0.0000,0.6930,0.0000,0.000008,0.0500,17,4955.6
410001,1650000,238891,0.0000,6.90,0.0000,0.6900,0.0000,0.000000,0.0500,18,5093.5
422501,1700000,246148,0.0100,6.88,0.0100,0.6880,0.0000,0.000000,0.0500,19,5227.2
435001,1750000,253403,0.0000,6.72,0.0000,0.6720,0.0000,0.000000,0.0500,19,5357.2
447501,1800000,260657,0.0000,6.91,0.0000,0.6910,0.0000,0.000000,0.0500,19,5474.4
460001,1850000,267917,0.0000,6.94,0.0000,0.6940,0.0000,0.000000,0.0500,19,5599.6
472501,1900000,275157,0.0000,6.94,0.0000,0.6940,0.0000,0.000000,0.0500,19,5736.9
485001,1950000,282381,0.0000,7.02,0.0000,0.7020,0.0000,0.000000,0.0500,19,5871.8
497501,2000000,289625,0.0000,6.93,0.0000,0.6930,0.0000,0.000000,0.0500,19,6009.6
