update,timestep,episode,mean_reward,mean_length,success_rate,mean_coverage,invalid_rate,loss,epsilon,unique_tilings,wall_time
1,10000,1441,0.6670,6.95,0.0000,0.6950,0.0000,0.013942,1.0000,0,4.9
2501,20000,2879,0.6725,7.01,0.0000,0.7010,0.0000,0.000469,0.9810,0,24.9
5001,30000,4314,0.6596,6.87,0.0000,0.6870,0.0000,0.000424,0.9620,1,42.7
7501,40000,5741,0.6633,6.91,0.0000,0.6910,0.0000,0.000390,0.9430,1,59.9
10001,50000,7170,0.6810,7.10,0.0000,0.7100,0.0000,0.000347,0.9240,1,77.3
12501,60000,8598,0.6735,7.02,0.0000,0.7020,0.0000,0.000348,0.9050,1,95.7
15001,70000,10020,0.6818,7.11,0.0000,0.7110,0.0000,0.000356,0.8860,1,115.5
17501,80000,11436,0.6827,7.12,0.0000,0.7120,0.0000,0.000366,0.8670,1,134.0
20001,90000,12849,0.6770,7.06,0.0000,0.7060,0.0000,0.000342,0.8480,1,152.2
22501,100000,14262,0.6772,7.06,0.0000,0.7060,0.0000,0.000353,0.8290,1,172.1
25001,110000,15672,0.6771,7.06,0.0000,0.7060,0.0000,0.000350,0.8100,1,197.7
27501,120000,17078,0.6772,7.06,0.0000,0.7060,0.0000,0.000347,0.7910,1,218.3
30001,130000,18472,0.6920,7.22,0.0000,0.7220,0.0000,0.000359,0.7720,1,238.7
32501,140000,19869,0.6966,7.27,0.0000,0.7270,0.0000,0.000343,0.7530,1,256.3
35001,150000,21261,0.6957,7.26,0.0000,0.7260,0.0000,0.000354,0.7340,1,275.5
37501,160000,22649,0.6818,7.11,0.0000,0.7110,0.0000,0.000346,0.7150,1,296.5
40001,170000,24038,0.6883,7.18,0.0000,0.7180,0.0000,0.000349,0.6960,1,314.5
42501,180000,25419,0.6772,7.06,0.0000,0.7060,0.0000,0.000342,0.6770,1,334.5
45001,190000,26801,0.6856,7.15,0.0000,0.7150,0.0000,0.000333,0.6580,1,355.8
47501,200000,28181,0.7004,7.31,0.0000,0.7310,0.0000,0.000353,0.6390,1,379.4
50001,210000,29560,0.7068,7.38,0.0000,0.7380,0.0000,0.000351,0.6200,1,405.4
52501,220000,30931,0.7012,7.32,0.0000,0.7320,0.0000,0.000389,0.6010,3,427.1
55001,230000,32307,0.6929,7.23,0.0000,0.7230,0.0000,0.000359,0.5820,3,446.6
57501,240000,33668,0.7077,7.39,0.0000,0.7390,0.0000,0.000350,0.5630,3,466.3
60001,250000,35034,0.6957,7.26,0.0000,0.7260,0.0000,0.000374,0.5440,3,493.1
62501,260000,36386,0.7160,7.48,0.0000,0.7480,0.0000,0.000353,0.5250,3,516.5
65001,270000,37732,0.7160,7.48,0.0000,0.7480,0.0000,0.000347,0.5060,3,537.0
67501,280000,39083,0.7160,7.48,0.0000,0.7480,0.0000,0.000352,0.4870,3,557.6
70001,290000,40430,0.7233,7.56,0.0000,0.7560,0.0000,0.000362,0.4680,3,577.0
72501,300000,41775,0.6993,7.30,0.0000,0.7300,0.0000,0.000378,0.4490,3,596.7
75001,310000,43112,0.7409,7.75,0.0000,0.7750,0.0000,0.000356,0.4300,3,618.0
77501,320000,44443,0.7188,7.51,0.0000,0.7510,0.0000,0.000348,0.4110,3,638.6
80001,330000,45772,0.7206,7.53,0.0000,0.7530,0.0000,0.000340,0.3920,4,658.9
82501,340000,47090,0.7234,7.56,0.0000,0.7560,0.0000,0.000339,0.3730,4,678.8
85001,350000,48406,0.7334,7.67,0.0000,0.7670,0.0000,0.000349,0.3540,5,702.2
87501,360000,49732,0.7351,7.58,0.0100,0.7580,0.0000,0.000346,0.3350,7,723.5
90001,370000,51054,0.7141,7.46,0.0000,0.7460,0.0000,0.000335,0.3160,7,744.1
92501,380000,52369,0.7187,7.51,0.0000,0.7510,0.0000,0.000369,0.2970,7,767.9
95001,390000,53673,0.7326,7.66,0.0000,0.7660,0.0000,0.000450,0.2780,7,788.8
97501,400000,54982,0.7398,7.74,0.0000,0.7740,0.0000,0.000341,0.2590,7,809.4
100001,410000,56282,0.7362,7.70,0.0000,0.7700,0.0000,0.000372,0.2400,8,835.3
102501,420000,57576,0.7361,7.70,0.0000,0.7700,0.0000,0.000351,0.2210,9,854.8
105001,430000,58865,0.7399,7.74,0.0000,0.7740,0.0000,0.000379,0.2020,11,871.0
107501,440000,60146,0.7473,7.82,0.0000,0.7820,0.0000,0.000338,0.1830,12,887.2
110001,450000,61437,0.7399,7.74,0.0000,0.7740,0.0000,0.000325,0.1640,12,902.5
112501,460000,62720,0.7464,7.81,0.0000,0.7810,0.0000,0.000337,0.1450,12,917.6
115001,470000,63992,0.7555,7.91,0.0000,0.7910,0.0000,0.000339,0.1260,13,932.8
117501,480000,65258,0.7583,7.94,0.0000,0.7940,0.0000,0.000355,0.1070,15,949.6
120001,490000,66519,0.7592,7.95,0.0000,0.7950,0.0000,0.000332,0.0880,17,965.3
122501,500000,67782,0.7610,7.97,0.0000,0.7970,0.0000,0.000317,0.0690,18,981.0
125001,510000,69040,0.7573,7.93,0.0000,0.7930,0.0000,0.000327,0.0500,20,996.8
127501,520000,70293,0.7527,7.88,0.0000,0.7880,0.0000,0.000364,0.0500,20,1012.5
130001,530000,71543,0.7628,7.99,0.0000,0.7990,0.0000,0.000313,0.0500,22,1029.0
132501,540000,72783,0.7656,8.02,0.0000,0.8020,0.0000,0.000316,0.0500,24,1044.8
135001,550000,74028,0.7600,7.96,0.0000,0.7960,0.0000,0.000348,0.0500,25,1060.3
137501,560000,75274,0.7692,8.06,0.0000,0.8060,0.0000,0.000323,0.0500,28,1075.8
140001,570000,76513,0.7675,8.04,0.0000,0.8040,0.0000,0.000388,0.0500,33,1091.2
142501,580000,77751,0.7729,8.10,0.0000,0.8100,0.0000,0.000374,0.0500,37,1106.7
145001,590000,78988,0.7702,8.07,0.0000,0.8070,0.0000,0.000386,0.0500,39,1122.3
147501,600000,80215,0.7830,8.21,0.0000,0.8210,0.0000,0.000338,0.0500,40,1138.1
150001,610000,81444,0.7829,8.21,0.0000,0.8210,0.0000,0.000296,0.0500,41,1153.7
152501,620000,82669,0.7911,8.19,0.0100,0.8190,0.0000,0.000332,0.0500,44,1169.2
155001,630000,83897,0.7793,8.17,0.0000,0.8170,0.0000,0.000327,0.0500,47,1184.8
157501,640000,85119,0.7857,8.24,0.0000,0.8240,0.0000,0.000378,0.0500,53,1200.2
160001,650000,86338,0.7784,8.16,0.0000,0.8160,0.0000,0.000361,0.0500,58,1215.5
162501,660000,87553,0.7784,8.16,0.0000,0.8160,0.0000,0.000326,0.0500,59,1230.8
165001,670000,88774,0.7848,8.23,0.0000,0.8230,0.0000,0.000363,0.0500,63,1246.1
167501,680000,89984,0.7830,8.21,0.0000,0.8210,0.0000,0.000312,0.0500,68,1262.0
170001,690000,91195,0.7839,8.22,0.0000,0.8220,0.0000,0.000324,0.0500,72,1277.4
172501,700000,92402,0.7903,8.29,0.0000,0.8290,0.0000,0.000388,0.0500,83,1292.8
