update,timestep,episode,mean_reward,mean_length,success_rate,mean_coverage,invalid_rate,policy_loss,value_loss,entropy,approx_kl,unique_tilings,wall_time
530,1085440,121984,1.8477,9.81,0.9200,0.9810,0.0000,-0.014385,0.020866,0.3804,0.012516,25,3494.1
540,1105920,124151,1.7077,9.48,0.8100,0.9480,0.0000,-0.029073,0.025563,0.5100,0.028187,25,3560.5
550,1126400,126244,1.9068,9.91,0.9700,0.9910,0.0000,-0.011532,0.003768,0.3187,0.009260,25,3626.6
560,1146880,128330,1.8468,9.80,0.9200,0.9800,0.0000,-0.012492,0.011120,0.3425,0.012831,25,3692.9
570,1167360,130423,1.7922,9.64,0.8800,0.9640,0.0000,-0.016004,0.022414,0.3561,0.016703,25,3758.9
580,1187840,132525,1.6615,9.52,0.7600,0.9520,0.0000,-0.020268,0.035593,0.4240,0.021086,25,3825.0
590,1208320,134631,1.6377,9.37,0.7500,0.9370,0.0000,-0.022627,0.059287,0.4813,0.030692,25,3890.9
600,1228800,136725,1.8577,9.81,0.9300,0.9810,0.0000,-0.012790,0.013104,0.3859,0.014875,25,3957.0
610,1249280,138847,1.9186,9.93,0.9800,0.9930,0.0000,-0.008460,0.003280,0.3207,0.007236,25,4023.2
620,1269760,140933,1.6842,9.55,0.7800,0.9550,0.0000,-0.024975,0.032553,0.3903,0.023961,25,4089.5
630,1290240,143045,1.6087,9.38,0.7200,0.9380,0.0000,-0.025367,0.045259,0.4709,0.021328,25,4155.8
640,1310720,145125,1.8968,9.91,0.9600,0.9910,0.0000,-0.013764,0.016433,0.3376,0.017119,25,4222.3
650,1331200,147260,1.6223,9.31,0.7400,0.9310,0.0000,-0.029552,0.043539,0.5583,0.031926,25,4288.5
660,1351680,149381,1.8614,9.85,0.9300,0.9850,0.0000,-0.009775,0.008598,0.3389,0.010878,25,4354.9
670,1372160,151501,1.7559,9.57,0.8500,0.9570,0.0000,-0.019815,0.021694,0.4476,0.017827,25,4421.2
680,1392640,153623,1.8704,9.84,0.9400,0.9840,0.0000,-0.012723,0.017030,0.3716,0.009733,25,4487.6
690,1413120,155724,1.8487,9.82,0.9200,0.9820,0.0000,-0.014566,0.023676,0.4163,0.014853,25,4553.5
700,1433600,157819,1.8741,9.88,0.9400,0.9880,0.0000,-0.012700,0.009597,0.3166,0.012476,25,4618.9
710,1454080,159898,1.9214,9.96,0.9800,0.9960,0.0000,-0.014540,0.005241,0.3200,0.010134,25,4684.6
720,1474560,161979,1.9077,9.92,0.9700,0.9920,0.0000,-0.010314,0.006627,0.3303,0.009783,25,4750.4
730,1495040,164109,1.7241,9.55,0.8200,0.9550,0.0000,-0.027785,0.030435,0.4494,0.023886,25,4816.2
740,1515520,166209,1.8468,9.80,0.9200,0.9800,0.0000,-0.015433,0.015703,0.3705,0.015839,25,4881.9
750,1536000,168299,1.8859,9.90,0.9500,0.9900,0.0000,-0.013247,0.010360,0.3437,0.013254,25,4947.7
760,1556480,170395,1.8341,9.77,0.9100,0.9770,0.0000,-0.017952,0.016783,0.3312,0.015617,25,5013.1
770,1576960,172515,1.6931,9.43,0.8000,0.9430,0.0000,-0.018692,0.035361,0.4123,0.018963,25,5078.8
780,1597440,174628,1.8241,9.77,0.9000,0.9770,0.0000,-0.015555,0.016813,0.3897,0.010633,25,5144.2
790,1617920,176729,1.8922,9.86,0.9600,0.9860,0.0000,-0.015243,0.017070,0.3652,0.014257,25,5209.2
800,1638400,178828,1.8695,9.83,0.9400,0.9830,0.0000,-0.016444,0.016963,0.4039,0.018360,25,5274.9
810,1658880,180911,1.8987,9.93,0.9600,0.9930,0.0000,-0.011734,0.007296,0.3430,0.009595,25,5342.0
820,1679360,182998,1.9341,9.99,0.9900,0.9990,0.0000,-0.008768,0.002985,0.3058,0.010275,25,5400.9
